"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.196928200E-2,7.151251793E0,-2.314745426E0,1.285172462E0
4.192792700E-2,7.202573776E0,3.775603771E-1,-1.688678265E0
6.188657300E-2,8.043505669E0,2.651020288E0,-1.602670193E0
8.928896900E-2,3.390681744E0,1.104617119E0,-4.851980209E-1
1.088993860E-1,2.432097912E0,-1.018531561E0,-1.931217194E0
1.285098020E-1,4.996188164E0,-3.317197323E0,-1.974040985E0
1.481202190E-1,3.548141718E0,-1.877139449E0,-1.846282959E0
1.677306360E-1,9.446146488E-1,-1.185042143E0,-3.383128166E0
1.873410520E-1,5.032504797E-1,-2.223959446E0,-4.540097237E0
2.069514690E-1,1.381713986E0,-2.040404797E0,-4.777503014E0
2.265650110E-1,7.724820137E0,2.097659111E-1,1.776590347E-1
2.461915730E-1,1.036253357E1,2.374300480E0,8.095930099E0
2.658437090E-1,-1.327992916E0,1.623126030E0,1.263054848E0
2.855324070E-1,-2.258303165E0,2.019373417E0,2.859440804E0
3.052670420E-1,-1.602376223E0,1.857980251E0,6.387034416E0
3.250547500E-1,-1.895845532E-1,-1.332275867E-1,5.352664948E0
3.449002190E-1,4.930312634E0,-3.329239368E0,4.240818977E0
3.648061040E-1,3.673372030E0,-2.351601839E0,5.708596230E0
3.847726150E-1,-2.351817608E0,1.761462212E0,3.289175987E0
4.047970940E-1,-5.449524879E0,2.515388727E0,-4.439954758E-1
4.248746460E-1,-2.985539436E0,9.325950146E-1,1.912603378E-1
4.449978750E-1,-1.680748105E0,6.465530396E-2,-8.771800995E-2
4.651578750E-1,-1.495689631E0,-1.155586243E-1,-3.502082825E-1
4.853451150E-1,-2.564860106E0,-1.368494034E-1,8.213615417E-2
5.055492820E-1,-3.763890743E0,4.510102272E-1,3.585424423E-1
5.257598540E-1,-2.492021084E0,-6.298053265E-1,-1.715930939E0
5.458592820E-1,-1.673642635E0,-1.570868611E0,-3.969560146E0
5.658522500E-1,-3.467704535E0,-1.087130785E0,-5.121456623E0
5.857911040E-1,-5.504767895E0,-5.721387863E-1,-4.942869186E0
6.057306880E-1,-6.131609440E0,-1.242895603E0,-3.418847084E0
6.256717290E-1,-5.577572823E0,-2.272128582E0,-1.285393715E0
6.456148540E-1,-2.635153770E0,-2.811532736E0,-1.162699699E0
6.655605840E-1,-1.227420688E0,-2.014913559E0,-2.095573425E0
6.855093340E-1,-2.727053165E0,2.124681473E-1,-2.666845798E0
7.054614170E-1,-2.825471878E0,1.747828007E0,-1.969197273E0
7.254169380E-1,-3.972723484E-1,1.947288036E0,7.337493896E-1
7.453758960E-1,1.904941916E0,1.954506397E0,2.596814156E0
7.653381880E-1,3.159708977E0,2.253977776E0,9.447870255E-1
7.853035000E-1,2.539691925E0,2.896035194E0,-2.530962944E0
8.052714170E-1,1.958862066E0,1.304706097E0,-7.279653549E-1
8.252553750E-1,1.755929947E0,-1.422009945E0,4.324275970E0
8.452398540E-1,1.646667480E0,-2.172387123E0,5.640317917E0
8.652116250E-1,1.977928400E0,-1.960434914E0,1.394081116E0
8.851704790E-1,2.542984247E0,-1.604041100E0,-3.905040741E0
9.051290730E-1,3.853659630E0,-2.169213772E0,-6.436538696E0
9.250876150E-1,4.933527470E0,-2.683535576E0,-5.154083252E0
9.450461570E-1,4.910733223E0,-2.592293262E0,-4.036870480E0
9.650046980E-1,4.420281887E0,-1.731587887E0,-3.632773399E0
9.849632400E-1,4.130412579E0,-8.202047348E-1,-1.028400421E0
1.004921782E0,4.683337212E0,-3.748698235E-1,1.643198013E0
1.024880323E0,7.617628098E0,1.280147552E0,5.289402008E0
1.044838865E0,8.847962379E0,1.478292942E0,9.546256065E0
1.064806625E0,2.672802210E0,1.144084454E0,1.499497986E1
1.084756729E0,-4.033143997E0,1.452313900E0,2.087807274E1
1.104707146E0,2.804787159E-1,-1.489216805E0,1.868452072E1
1.124658188E0,3.109000921E0,-3.537092686E0,1.098131561E1
1.144610167E0,1.536013603E0,-4.312873363E0,5.449768543E0
1.164563292E0,5.734212399E-1,-5.216629982E0,-5.120964050E-1
1.184517667E0,2.512462139E-1,-6.187261581E0,-6.966187477E0
1.204473500E0,1.483751535E0,-7.711843967E0,-1.068853855E1
1.224430792E0,3.323606730E0,-9.296792984E0,-1.012243271E1
1.244389542E0,3.790754318E0,-1.078357029E1,-9.246024132E0
1.264349646E0,3.305023193E0,-1.178907776E1,-7.875910759E0
1.284311000E0,3.235869408E0,-1.202951622E1,-5.688876629E0
1.304273500E0,3.011345148E0,-1.193868256E1,-5.091440678E0
1.324252771E0,2.911464214E0,-1.151525784E1,-7.265449047E0
1.344219125E0,3.322519064E0,-1.091268921E1,-1.025409126E1
1.364177771E0,2.452701092E0,-9.820654869E0,-1.113445091E1
1.384136417E0,9.604759216E-1,-8.508477211E0,-1.100437927E1
1.404095063E0,-3.455242634E0,-6.701439857E0,-1.116381168E1
1.424053709E0,-1.983288765E1,-2.671617985E0,-7.445424080E0
1.444012354E0,-4.642765045E1,9.871562004E0,8.342185974E0
1.463971000E0,-5.111215210E1,1.432650375E1,2.388631058E1
1.483929646E0,-3.308832169E1,1.119459724E1,2.116963387E1
1.503888292E0,-1.362186146E1,7.791627407E0,1.043075180E1
1.523846938E0,1.203558922E0,5.631361961E0,1.072724104E0
1.543805584E0,7.156944752E0,4.018636227E0,8.742432594E-1
1.563776573E0,1.197580338E1,2.077038765E0,3.260827541E0
1.583723032E0,1.523421383E1,1.037120819E-2,3.538400173E0
1.603669907E0,1.711240005E1,-1.229492664E0,1.477524519E0
1.623617719E0,1.734013367E1,-1.446887493E0,-1.936494589E0
1.643566782E0,1.280872917E1,-1.414270401E-1,-3.279526234E0
1.663517511E0,1.144157410E1,1.179733276E-1,-4.785751820E0
1.683470115E0,1.018904972E1,7.055759430E-2,-5.332452774E0
1.703424802E0,8.844646454E0,3.849048615E-1,-5.435709476E0
1.723381573E0,7.469402790E0,8.657989502E-1,-5.961227894E0
1.743340427E0,5.860105991E0,8.553142548E-1,-2.674775362E0
1.763301261E0,1.812671661E0,2.282816410E0,5.910305977E0
1.783263969E0,-6.916063786E0,6.776115417E0,1.342382431E1
1.803228344E0,-1.592556000E1,1.311909294E1,1.831428146E1
1.823215584E0,-3.052877426E1,1.224296570E1,2.316295052E1
1.843185844E0,-2.343633270E1,6.759901047E0,1.986611176E1
1.863144490E0,-1.097204781E1,2.820949554E-1,9.452558517E0
1.883103136E0,-3.298375130E0,-3.561438084E0,4.749467373E0
1.903061782E0,1.240711689E0,-5.681861877E0,2.509407997E-1
1.923020427E0,1.556732655E0,-6.585825920E0,-1.914601088E0
1.942979073E0,2.905122042E0,-7.986706734E0,-2.848552465E0
1.962937719E0,5.481266022E0,-1.007427597E1,-5.079298019E0
1.982896365E0,5.355661869E0,-1.174601364E1,-5.882054329E0
2.002855011E0,5.757351398E0,-1.244747162E1,-6.011305809E0
2.022813657E0,5.182961464E0,-1.303624821E1,-9.646589279E0
2.042772302E0,4.738676071E0,-1.194324112E1,-1.204259300E1
2.062746573E0,6.498389244E0,-1.147425652E1,-1.248885345E1
2.082690219E0,7.481521606E0,-1.218694115E1,-1.058415318E1
2.102634386E0,7.543079376E0,-1.341300201E1,-6.017086506E0
2.122579698E0,6.964868546E0,-1.411933517E1,-2.092611551E0
2.142526573E0,4.453824043E0,-1.282486820E1,-3.103191853E0
