"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.451597740E-1,5.238983810E1,4.950809700E0,2.099324732E0,NaN,NaN,3.256399918E1,1.255661249E0
2.274028541E0,5.238951887E1,4.951198670E0,-5.885388518E0,2.640000105E0,2.098999939E2,1.139572811E1,1.413595295E1
3.274835989E0,5.238949333E1,4.951176540E0,-2.083679987E0,3.160000086E0,2.036000061E2,6.980698109E0,6.659329891E0
4.274579374E0,5.238950180E1,4.951207500E0,-7.187206627E-1,2.950000048E0,2.058999939E2,5.464787960E0,5.079687595E0
5.273193800E0,5.238947532E1,4.951183920E0,-1.416770176E0,3.559999943E0,2.073000031E2,4.685761929E0,4.184215069E0
6.273096404E0,5.238943807E1,4.951165740E0,1.490881015E0,3.400000095E0,2.038000031E2,3.994308710E0,4.038142681E0
7.273588956E0,5.238941146E1,4.951141170E0,2.135970388E0,3.250000000E0,2.095000000E2,3.814639091E0,3.664185524E0
8.276802289E0,5.238938058E1,4.951113740E0,1.224228281E0,4.050000191E0,2.083999939E2,3.790092468E0,2.898761034E0
9.275386507E0,5.238935237E1,4.951089620E0,2.014396205E0,2.690000057E0,2.063000031E2,3.790092468E0,2.510950804E0
1.027476718E1,5.238932748E1,4.951072110E0,2.471809041E0,2.809999943E0,2.016999969E2,3.790092468E0,2.500000000E0
1.127551119E1,5.238929634E1,4.951055120E0,1.636427637E0,4.019999981E0,1.988000031E2,3.790092468E0,2.500000000E0
1.227683505E1,5.238926510E1,4.951038470E0,1.067891992E0,2.730000019E0,1.978000031E2,3.790092468E0,2.500000000E0
1.327525416E1,5.238923367E1,4.951023600E0,8.644083838E-1,3.670000076E0,1.953999939E2,3.790092468E0,2.500000000E0
1.427885328E1,5.238920344E1,4.951016670E0,4.947323869E-1,3.349999905E0,1.936999969E2,3.790092468E0,2.500000000E0
1.528277947E1,5.238917224E1,4.951012750E0,1.805964968E0,3.440000057E0,1.881999969E2,3.790092468E0,2.523720741E0
1.627826702E1,5.238914144E1,4.951013350E0,1.965589427E0,3.329999924E0,1.841000061E2,3.790092468E0,2.721424818E0
1.727751676E1,5.238911202E1,4.951020130E0,3.054174535E0,3.230000019E0,1.785000000E2,3.790092468E0,2.724122524E0
1.827828218E1,5.238908229E1,4.951031950E0,3.601746517E0,3.240000010E0,1.741000061E2,3.790092468E0,2.950429678E0
1.928444140E1,5.238905198E1,4.951043780E0,3.769007619E0,3.259999990E0,1.728000031E2,3.790092468E0,3.088871717E0
2.028034775E1,5.238902203E1,4.951053960E0,3.960682335E0,3.190000057E0,1.735000000E2,3.790092468E0,3.059845448E0
2.127681317E1,5.238898982E1,4.951062690E0,3.072824177E0,3.450000048E0,1.751000061E2,3.790092468E0,2.930309296E0
2.228653760E1,5.238895581E1,4.951069890E0,2.888636880E0,3.380000114E0,1.783999939E2,3.790092468E0,2.822817564E0
2.328184411E1,5.238892209E1,4.951069070E0,2.502846196E0,3.349999905E0,1.825000000E2,3.790092468E0,2.654132843E0
2.427478806E1,5.238888613E1,4.951063450E0,2.395552941E0,3.640000105E0,1.895000000E2,3.790092468E0,2.565106630E0
2.527952197E1,5.238885125E1,4.951052560E0,1.799854829E0,3.440000057E0,1.930000000E2,3.790092468E0,2.500000000E0
2.627717082E1,5.238882185E1,4.951035840E0,1.168882799E0,3.289999962E0,2.006000061E2,3.790092468E0,2.500000000E0
2.727846577E1,5.238879246E1,4.951015960E0,1.882452398E0,3.440000057E0,2.040000000E2,3.790092468E0,2.500000000E0
2.828249238E1,5.238876392E1,4.950990680E0,1.411205605E0,3.490000010E0,2.120000000E2,3.790092468E0,2.500000000E0
2.927941983E1,5.238873775E1,4.950961530E0,1.420367644E0,3.400000095E0,2.148999939E2,3.790092468E0,2.500000000E0
3.027947181E1,5.238871104E1,4.950930660E0,1.411644610E0,3.450000048E0,2.196999969E2,3.790092468E0,2.500000000E0
3.127925692E1,5.238868446E1,4.950898630E0,1.571072941E0,3.480000019E0,2.178000031E2,3.790092468E0,2.500000000E0
3.227669681E1,5.238865614E1,4.950869890E0,2.049775616E0,3.549999952E0,2.115000000E2,3.790092468E0,2.500000000E0
3.327997915E1,5.238862543E1,4.950844320E0,2.236240409E0,3.440000057E0,2.100000000E2,3.790092468E0,2.500000000E0
3.427514796E1,5.238859549E1,4.950818860E0,1.637244937E0,3.490000010E0,2.091000061E2,3.790092468E0,2.500000000E0
3.527507733E1,5.238856573E1,4.950792210E0,1.369120609E0,3.539999962E0,2.093999939E2,3.790092468E0,2.500000000E0
