"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.993142170E-1,5.238850170E1,4.950033600E0,2.096969081E0,NaN,NaN,3.050799942E1,1.920115352E0
2.658337759E0,5.238871432E1,4.950870220E0,-5.542062859E-1,2.500000000E0,2.320000000E2,1.552792168E1,1.008618355E1
3.658384217E0,5.238869716E1,4.950866710E0,4.728058055E-1,3.589999914E0,2.121999969E2,9.621205330E0,7.023408413E0
4.658320623E0,5.238866142E1,4.950863800E0,-6.281378980E-1,4.469999790E0,1.768999939E2,5.666389942E0,4.457363129E0
5.663705831E0,5.238864507E1,4.950830290E0,-1.438666566E0,3.349999905E0,2.200000000E2,4.877896786E0,4.045294285E0
6.660210778E0,5.238860409E1,4.950808660E0,-1.728044177E0,4.380000114E0,2.020000000E2,4.667976856E0,3.989673376E0
7.660217393E0,5.238858203E1,4.950778050E0,-2.711125670E0,3.519999981E0,2.100000000E2,4.187091351E0,3.393639088E0
8.662729215E0,5.238855355E1,4.950755390E0,-3.077370583E-1,3.289999962E0,2.095000000E2,3.790092468E0,2.863228559E0
9.660711871E0,5.238852340E1,4.950732960E0,-6.514210027E-1,3.730000019E0,2.071000061E2,3.790092468E0,2.801556349E0
1.066324198E1,5.238849358E1,4.950710100E0,-1.932848868E0,3.569999933E0,2.063000031E2,3.790092468E0,2.680522680E0
1.166234677E1,5.238846509E1,4.950691590E0,-1.381813807E0,3.109999895E0,2.038999939E2,3.790092468E0,2.500000000E0
1.266442041E1,5.238843563E1,4.950674940E0,-5.671071662E-1,3.210000038E0,2.050000000E2,3.790092468E0,2.500000000E0
1.366030645E1,5.238840396E1,4.950655510E0,-4.397832234E-1,3.609999895E0,2.036999969E2,3.790092468E0,2.500000000E0
1.466106328E1,5.238837257E1,4.950634350E0,-5.266322540E-1,3.380000114E0,2.035000000E2,3.790092468E0,2.500000000E0
1.566151854E1,5.238834251E1,4.950616680E0,-3.245979605E-1,3.349999905E0,2.011000061E2,3.790092468E0,2.500000000E0
1.666262843E1,5.238831212E1,4.950599910E0,3.204905874E-1,3.240000010E0,2.001000061E2,3.790092468E0,2.500000000E0
1.766259525E1,5.238828087E1,4.950584070E0,1.302431481E0,3.289999962E0,1.983000031E2,3.790092468E0,2.500000000E0
1.866216807E1,5.238825023E1,4.950569570E0,1.677379395E0,3.210000038E0,1.985000000E2,3.790092468E0,2.500000000E0
1.966229635E1,5.238821968E1,4.950555520E0,2.002889224E0,3.289999962E0,1.975000000E2,3.790092468E0,2.500000000E0
2.066234624E1,5.238818924E1,4.950542880E0,1.945892708E0,3.299999952E0,1.970000000E2,3.790092468E0,2.500000000E0
2.166260515E1,5.238815705E1,4.950532280E0,2.372598503E0,3.359999895E0,1.968999939E2,3.790092468E0,2.500000000E0
2.266025937E1,5.238812373E1,4.950518440E0,2.878524433E0,3.559999943E0,2.001999969E2,3.790092468E0,2.500000000E0
2.366144562E1,5.238809244E1,4.950506120E0,2.554192909E0,3.250000000E0,1.966999969E2,3.790092468E0,2.500000000E0
2.466084296E1,5.238806232E1,4.950499200E0,2.114082509E0,3.319999933E0,1.895000000E2,3.790092468E0,2.500000000E0
2.566100546E1,5.238803176E1,4.950490080E0,2.305745102E0,3.319999933E0,1.958000031E2,3.790092468E0,2.500000000E0
2.666148973E1,5.238800205E1,4.950482750E0,1.967624793E0,3.180000067E0,1.898999939E2,3.790092468E0,2.500000000E0
2.766093561E1,5.238797228E1,4.950475940E0,1.906177065E0,3.359999895E0,1.916999969E2,3.790092468E0,2.500000000E0
2.867208681E1,5.238794421E1,4.950467190E0,1.521427404E0,3.230000019E0,1.928999939E2,3.790092468E0,2.500000000E0
