"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.007906700E-2,1.152808070E0,5.615001678E0,1.521275806E1
4.003979600E-2,-1.657984734E0,5.236717701E0,1.747767258E1
6.000052600E-2,3.025073767E0,5.203198910E0,1.803312683E1
8.494255700E-2,9.448717117E0,6.165668011E0,1.721191597E1
1.049032860E-1,-3.076549172E-1,4.810549736E0,1.438196945E1
1.248640150E-1,-1.777694821E0,4.063559055E0,1.268687439E1
1.448247440E-1,-3.360262156E0,3.503315687E0,1.586398029E1
1.647854730E-1,-3.951629877E0,3.646967649E0,1.268687439E1
1.847462030E-1,-1.653196216E0,4.417900562E0,7.094019413E0
2.047069320E-1,-2.845508814E0,4.001309395E0,6.861782074E0
2.246676610E-1,-2.591723442E0,3.522469282E0,5.063736439E0
2.446283900E-1,-1.602918029E0,3.350086689E0,2.686294317E0
2.645891190E-1,-2.357091665E0,3.184886694E0,3.663128614E-1
2.845498480E-1,-4.545392036E0,1.935113549E0,-7.876923680E-1
3.045105780E-1,-5.972336292E0,9.630676508E-1,1.007958889E0
3.244713070E-1,-6.355408192E0,1.607107878E0,2.841917515E0
3.444320360E-1,-5.428852558E0,3.381211281E0,2.712630510E0
3.643927650E-1,-4.909310818E0,5.801749229E0,3.021482468E0
3.843534940E-1,-5.057751179E0,9.055469513E0,3.521870613E0
4.043142230E-1,-7.712920666E0,6.321290970E0,1.632845497E1
4.242749530E-1,-8.167819023E0,1.906383157E0,2.765781784E1
4.442356820E-1,-6.350619793E0,-2.633023262E0,2.727474594E1
4.641964110E-1,-3.603273630E-1,1.724423766E0,1.932599640E1
4.841571400E-1,2.680308819E0,3.797802448E0,1.136048698E1
5.041178690E-1,4.973954201E0,4.583100796E0,9.342175484E0
5.240785980E-1,3.853467703E0,3.053205729E0,1.191594219E1
5.440393280E-1,4.013879299E0,1.427542806E0,1.330936718E1
5.640080260E-1,3.530250311E0,9.894038439E-1,1.025197124E1
5.839548480E-1,3.530250311E0,8.864531517E-1,7.620744228E0
6.039024530E-1,3.685873508E0,1.116296530E0,2.849100113E0
6.238513070E-1,4.861426353E0,1.631049871E0,2.394201700E-3
6.438018280E-1,3.815160513E0,1.382052898E0,1.003170490E0
6.637543800E-1,3.491943121E0,5.273229480E-1,2.734178305E0
6.837092230E-1,2.546233416E0,7.739257216E-1,4.867412090E0
7.036665150E-1,1.167173386E0,8.200141042E-2,6.217741966E0
7.236263070E-1,2.239775658E0,1.487397790E0,9.196128845E0
7.435885460E-1,2.728192806E0,4.951807499E0,9.057265282E0
7.635530780E-1,1.126471877E0,6.180033207E0,1.160709000E1
7.835196400E-1,-9.038111567E-1,4.324526787E0,1.795890617E1
8.035039110E-1,2.753331885E-2,1.817797661E0,2.213199997E1
8.234910980E-1,1.385045648E0,2.114678621E0,2.019030380E1
8.434519320E-1,-1.432929754E0,3.773860455E0,1.718797493E1
8.634126610E-1,-6.910863400E0,8.284536362E0,1.456632328E1
8.833733900E-1,-8.194155693E0,1.017356110E1,7.783549786E0
9.033341190E-1,-5.740098476E0,8.078635216E0,1.944091797E0
9.232948480E-1,-4.052186489E0,3.831321239E0,7.661445439E-2
9.432555780E-1,-1.820790410E0,-8.589198589E-1,2.001552582E0
9.632163070E-1,4.201824069E-1,-3.600280762E0,8.757989883E0
9.831770360E-1,-1.277306557E0,-2.259527922E0,1.255998230E1
1.003137765E0,-3.585317135E0,-1.009754539E0,8.063671112E0
1.023098494E0,-5.242104530E0,-2.788646460E0,4.900930882E0
1.043059223E0,-5.503072739E0,-3.466205597E0,3.727771997E0
1.063029692E0,-4.495113850E0,-1.739986062E0,-3.687070608E-1
1.082972817E0,-4.150348663E0,-1.356913805E0,4.477157116E0
1.102916932E0,-3.226186752E0,-1.153406620E0,8.798690796E0
1.122862661E0,-5.665878296E0,9.822212458E-1,7.429207802E0
1.142810526E0,-9.599552155E0,3.108272314E0,4.419696331E0
1.162760994E0,-1.317648888E1,2.919130325E0,1.466448498E1
1.182714380E0,-1.510382175E1,5.064335346E0,2.286701965E1
1.202670838E0,-1.368406010E1,7.812878609E0,1.935712051E1
1.222630421E0,-1.032499504E1,1.041777039E1,8.889671326E0
1.242593078E0,-8.998606682E0,1.203864479E1,1.304839969E0
1.262558598E0,-7.897274494E0,1.110011768E1,4.838681698E0
1.282526671E0,-7.322665691E0,9.326014519E0,1.369722748E1
1.302516359E0,-6.489483833E0,9.007585526E0,1.650802040E1
1.322511151E0,-1.600523829E0,7.128137112E0,1.107318306E1
