"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.238924350E1,4.962192900E0,2.805119828E0,NaN,NaN,1.554199982E1,1.000000000E0
2.066248645E0,5.238918738E1,4.962120010E0,1.199197083E1,1.970000029E0,1.848000031E2,1.001824856E1,9.645331383E0
2.947641561E0,5.238916309E1,4.962116690E0,1.721214910E1,1.970000029E0,1.848000031E2,1.329503441E1,9.645331383E0
3.949783696E0,5.238916479E1,4.962063390E0,1.554323615E1,3.319999933E0,2.928999939E2,1.430657291E1,1.437367439E1
4.947513279E0,5.238925668E1,4.961994130E0,-1.560126548E1,3.049999952E0,3.046000061E2,1.167515945E1,1.293926144E1
5.946945571E0,5.238920100E1,4.961952730E0,-7.929188875E0,3.930000067E0,2.258999939E2,1.051080418E1,1.246361351E1
6.947097445E0,5.238898174E1,4.961866410E0,2.147389044E1,3.420000076E0,2.478999939E2,9.832693100E0,1.160192299E1
7.953534685E0,5.238905384E1,4.961817160E0,1.777822479E1,3.869999886E0,2.483999939E2,1.045585918E1,1.127808762E1
8.947237445E0,5.238906069E1,4.961772310E0,1.726484170E1,3.549999952E0,2.707000122E2,8.870807648E0,9.258295059E0
9.946777444E0,5.238908578E1,4.961730610E0,1.227150598E1,3.029999971E0,2.520000000E2,9.716768265E0,1.004026318E1
1.094806213E1,5.238909067E1,4.961736990E0,1.379678524E1,3.200000048E0,2.767000122E2,9.112926483E0,8.765914917E0
1.194836578E1,5.238907319E1,4.961731230E0,1.764947911E1,3.119999886E0,2.393999939E2,9.997532845E0,1.094515038E1
1.295288864E1,5.238897258E1,4.961716990E0,2.231961540E1,3.700000048E0,2.278999939E2,7.926171780E0,8.241899490E0
1.394903630E1,5.238903992E1,4.961575210E0,1.258012678E1,2.400000095E0,2.607999878E2,8.004095078E0,9.356446266E0
1.500913869E1,5.238903327E1,4.961485330E0,1.025572404E1,3.859999895E0,2.458999939E2,5.988281727E0,6.903636932E0
1.600614067E1,5.238902712E1,4.961439350E0,9.532238743E0,3.259999990E0,2.240000000E2,5.357671261E0,5.816408157E0
1.701510713E1,5.238902297E1,4.961385930E0,8.101659669E0,3.019999981E0,2.478999939E2,4.887833595E0,5.110777855E0
1.800691609E1,5.238898172E1,4.961355020E0,1.031642656E1,3.779999971E0,2.121999969E2,4.243596077E0,4.050823212E0
1.901148135E1,5.238894541E1,4.961307380E0,9.536195620E0,4.840000153E0,2.148999939E2,4.045220852E0,3.701701641E0
2.000891411E1,5.238890060E1,4.961260920E0,1.053024524E1,5.869999886E0,2.105000000E2,3.907742023E0,3.400580168E0
2.100892291E1,5.238888957E1,4.961228300E0,1.129351615E1,3.799999952E0,2.266000061E2,3.810167551E0,3.330826044E0
2.200863780E1,5.238886794E1,4.961197040E0,1.096979763E1,3.430000067E0,2.176000061E2,3.790092468E0,3.075995684E0
2.300819458E1,5.238884996E1,4.961165750E0,1.170046663E1,3.079999924E0,2.268999939E2,3.790092468E0,2.972555399E0
2.400822702E1,5.238883996E1,4.961136070E0,1.142809619E1,2.569999933E0,2.351000061E2,3.790092468E0,2.807907581E0
2.501089202E1,5.238883110E1,4.961097900E0,1.055733375E1,3.369999886E0,2.463999939E2,3.790092468E0,2.772989511E0
2.600887426E1,5.238882997E1,4.961038820E0,1.091514679E1,3.619999886E0,2.747000122E2,3.790092468E0,2.817664862E0
2.701124202E1,5.238883233E1,4.960981510E0,1.067036575E1,3.359999895E0,2.736000061E2,3.790092468E0,3.142962456E0
2.801926015E1,5.238883296E1,4.960918580E0,1.007706822E1,3.859999895E0,2.763999939E2,3.790092468E0,3.081820488E0
2.900634134E1,5.238884838E1,4.960862970E0,9.914032872E0,3.849999905E0,2.802999878E2,3.790092468E0,2.926136732E0
3.000932155E1,5.238884707E1,4.960813630E0,9.822083278E0,3.309999943E0,2.790000000E2,3.790092468E0,2.748247385E0
3.100905369E1,5.238885349E1,4.960769610E0,1.002568004E1,3.029999971E0,2.750000000E2,3.790092468E0,2.737483978E0
3.200981176E1,5.238885839E1,4.960717710E0,8.113547374E0,3.660000086E0,2.757999878E2,3.790092468E0,2.747424126E0
3.300626509E1,5.238886267E1,4.960662670E0,7.918697152E0,3.660000086E0,2.755000000E2,3.790092468E0,2.977984190E0
3.401156379E1,5.238887030E1,4.960614320E0,8.064492816E0,3.170000076E0,2.807000122E2,3.790092468E0,2.500000000E0
3.500994384E1,5.238888306E1,4.960570040E0,8.417207350E0,3.339999914E0,2.921000061E2,3.790092468E0,2.500000000E0
3.601015749E1,5.238890208E1,4.960530850E0,7.199071962E0,3.140000105E0,3.031000061E2,3.790092468E0,2.500000000E0
3.700975196E1,5.238892240E1,4.960494700E0,6.881697037E0,3.160000086E0,3.062999878E2,3.790092468E0,2.500000000E0
3.801159212E1,5.238894207E1,4.960456180E0,6.103016091E0,3.240000010E0,3.036000061E2,3.790092468E0,2.500000000E0
3.900908108E1,5.238895806E1,4.960415210E0,4.742480324E0,3.069999933E0,2.980000000E2,3.790092468E0,2.500000000E0
4.000890400E1,5.238897169E1,4.960372540E0,4.217999770E0,3.140000105E0,2.958999939E2,3.790092468E0,2.500000000E0
4.101519988E1,5.238898239E1,4.960324260E0,3.492950242E0,3.349999905E0,2.876000061E2,3.790092468E0,2.500000000E0
4.200860629E1,5.238898639E1,4.960272610E0,3.386724644E0,3.099999905E0,2.748999939E2,3.790092468E0,2.500000000E0
4.301347009E1,5.238899198E1,4.960221790E0,3.321822598E0,3.279999971E0,2.887999878E2,3.790092468E0,2.500000000E0
4.401212389E1,5.238900231E1,4.960172590E0,3.523957063E0,3.210000038E0,2.895000000E2,3.790092468E0,2.500000000E0
4.500952451E1,5.238901045E1,4.960124030E0,2.611037510E0,3.220000029E0,2.807999878E2,3.790092468E0,2.500000000E0
4.601270915E1,5.238901661E1,4.960070200E0,2.940787840E0,3.430000067E0,2.808999939E2,3.790092468E0,2.500000000E0
