"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.112121100E-2,1.710414886E0,-9.873587608E0,-2.560035706E0
6.107886700E-2,3.944801569E0,-1.112467670E1,-2.990679264E0
8.601553400E-2,6.026669979E0,-1.349558258E1,-5.994458199E0
1.059731380E-1,2.521564960E0,-1.428920174E1,-6.746651649E0
1.259307420E-1,5.032458305E-1,-1.450216103E1,-7.022642136E0
1.458883460E-1,4.805782318E0,-1.513914871E1,-1.054673100E1
1.658459500E-1,9.968409538E0,-1.591913223E1,-1.332556057E1
1.858035550E-1,1.039194679E1,-1.606434441E1,-1.282764435E1
2.057611590E-1,7.572415829E0,-1.510851860E1,-9.783462524E0
2.257187630E-1,3.945751667E0,-1.369568825E1,-8.906386375E0
2.456763670E-1,6.831870079E-1,-1.265771675E1,-9.606881142E0
2.656339710E-1,-2.849757195E0,-1.244313812E1,-8.894329071E0
2.855915750E-1,-1.015095139E1,-9.244977951E0,-2.065886974E0
3.055491800E-1,-3.226027298E1,4.417744637E0,1.359823608E1
3.255067840E-1,-5.644325256E1,2.297016144E1,1.590362644E1
3.454643880E-1,-4.937756729E1,2.363802910E1,1.573369217E1
3.654219920E-1,-2.028763580E1,1.151605511E1,1.954659462E1
3.853795960E-1,2.552423477E-1,5.915499687E0,1.156215286E1
4.053372000E-1,7.402862549E0,4.652347088E0,1.552264452E0
4.252948050E-1,1.038591957E1,3.817945480E0,-2.748574734E0
4.452524090E-1,1.479995155E1,1.440308094E0,-7.408227921E-1
4.652100130E-1,1.905202103E1,-1.169009209E0,9.847679138E-1
4.851676170E-1,1.854550552E1,-1.931601524E0,2.270698309E0
5.051252210E-1,1.616821480E1,-9.653830528E-1,3.040792465E0
5.250828250E-1,1.639560890E1,-8.890309334E-1,5.510816574E-1
5.450404300E-1,1.613720322E1,-1.335482597E0,-1.607688308E0
5.650120440E-1,1.525620174E1,-1.618582249E0,-2.344253063E-1
5.849437110E-1,1.526880264E1,-1.722779036E0,1.721926689E0
6.048768880E-1,1.425028324E1,-1.015220881E0,3.416163683E0
6.248124610E-1,4.748772621E0,2.546642780E0,8.343006134E0
6.447512110E-1,-6.158255100E0,8.679140091E0,1.358613300E1
6.646937630E-1,-8.001308441E0,9.162824631E0,1.251412392E1
