"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.196928200E-2,5.242104530E0,1.329380512E0,1.034774017E1
4.192792700E-2,5.050568581E0,3.852869034E0,7.369352818E0
6.188657300E-2,5.874173641E0,6.017227650E0,7.479485989E0
8.928896900E-2,1.468842745E0,4.492120743E0,8.640673637E0
1.088993860E-1,5.758054852E-1,2.361281395E0,7.196970463E0
1.285098020E-1,2.938882589E0,-8.978256024E-3,7.115567684E0
1.481202190E-1,1.310825467E0,1.334168911E0,7.218518257E0
1.677306360E-1,-1.296460271E0,1.973420739E0,5.679046631E0
1.873410520E-1,-1.578976035E0,9.080010056E-1,4.541800499E0
2.069514690E-1,-4.297592044E-1,1.027711034E0,4.355052948E0
2.265650110E-1,6.266822815E0,3.189675331E0,9.397241592E0
2.461915730E-1,9.108740807E0,5.466560841E0,1.734599113E1
2.658437090E-1,-2.347514868E0,4.877587318E0,1.049618053E1
2.855324070E-1,-3.015496969E0,5.315726280E0,1.212184334E1
3.052670420E-1,-2.064998865E0,5.150526524E0,1.570596313E1
3.250547500E-1,-3.507505357E-1,3.127425909E0,1.471955204E1
3.449002190E-1,4.830301762E0,-1.286883354E-1,1.364455509E1
3.648061040E-1,3.298012733E0,8.984242082E-1,1.511220074E1
3.847726150E-1,-2.955641985E0,5.133767128E0,1.265814400E1
4.047970940E-1,-6.089652061E0,5.863998413E0,8.935160637E0
4.248746460E-1,-3.508702517E0,4.113837242E0,9.639056206E0
4.449978750E-1,-2.064998865E0,3.041234732E0,9.433155060E0
4.651578750E-1,-1.849520802E0,2.696469545E0,9.220070839E0
4.853451150E-1,-3.027467966E0,2.600701571E0,9.670180321E0
5.055492820E-1,-4.420893669E0,3.297414303E0,9.907206535E0
5.257598540E-1,-3.302801132E0,2.461838007E0,7.735665798E0
5.458592820E-1,-2.519897223E0,1.767519355E0,5.372588634E0
5.658522500E-1,-4.279635429E0,2.459443808E0,4.120420933E0
5.857911040E-1,-6.295553207E0,3.182492495E0,4.194641590E0
6.057306880E-1,-6.973112583E0,2.761113167E0,5.590460777E0
6.256717290E-1,-6.525396824E0,2.078765631E0,7.541735172E0
6.456148540E-1,-3.705027103E0,1.999756932E0,7.395689011E0
6.655605840E-1,-2.426523447E0,3.275866508E0,6.141127586E0
6.855093340E-1,-4.056974888E0,5.832873821E0,5.317522049E0
7.054614170E-1,-4.188655853E0,7.427412033E0,5.966350555E0
7.254169380E-1,-1.631648421E0,7.448959827E0,8.825027466E0
7.453758960E-1,8.774749041E-1,7.187992096E0,1.091037750E1
7.653381880E-1,2.311601639E0,7.216722488E0,9.452308655E0
7.853035000E-1,1.713051319E0,7.571064472E0,6.133944988E0
8.052714170E-1,9.253589511E-1,5.626972675E0,8.094796181E0
8.252553750E-1,3.818751574E-1,2.631826162E0,1.324472427E1
8.452398540E-1,-3.471592441E-2,1.827374458E0,1.455435181E1
8.652116250E-1,1.424549967E-1,2.143409014E0,1.023042393E1
8.851704790E-1,6.500257850E-1,2.634220362E0,4.829104900E0
9.051290730E-1,1.918952703E0,2.148197412E0,2.207453966E0
9.250876150E-1,2.934094191E0,1.650203466E0,3.428496838E0
9.450461570E-1,2.905363798E0,1.724423766E0,4.520252705E0
9.650046980E-1,2.498349428E0,2.543240786E0,4.936843872E0
9.849632400E-1,2.321178436E0,3.465008497E0,7.548917770E0
1.004921782E0,2.929305792E0,4.063559055E0,1.015620327E1
1.024880323E0,5.756857872E0,6.048352242E0,1.362061310E1
1.044838865E0,6.637924194E0,6.682815552E0,1.756386375E1
1.064806625E0,2.513911761E-2,6.711545944E0,2.270182037E1
1.084756729E0,-6.791152954E0,7.324461460E0,2.843353844E1
1.104707146E0,-2.278082848E0,4.803367138E0,2.605370331E1
1.124658188E0,5.758054852E-1,3.268683910E0,1.792059898E1
1.144610167E0,-1.289277673E0,3.041234732E0,1.167891598E1
1.164563292E0,-2.768894196E0,2.641402960E0,4.730942726E0
1.184517667E0,-3.621230125E0,1.990180135E0,-2.755726099E0
1.204473500E0,-2.792836189E0,5.177460909E-1,-7.153874874E0
1.224430792E0,-1.267729759E0,-1.249174714E0,-6.744466305E0
1.244389542E0,-1.085770488E0,-3.090315819E0,-5.650316238E0
1.264349646E0,-1.816002011E0,-4.567538261E0,-3.854664803E0
1.284311000E0,-2.076969862E0,-5.309741020E0,-1.225831270E0
1.304273500E0,-2.491166830E0,-5.656899929E0,-3.591302633E-1
1.324252771E0,-2.850297213E0,-5.563526154E0,-2.542642117E0
1.344219125E0,-2.828749418E0,-5.237914562E0,-5.827486992E0
1.364177771E0,-4.174290657E0,-4.428674698E0,-7.196970463E0
1.384136417E0,-6.115988255E0,-3.461417198E0,-7.532158375E0
1.404095063E0,-1.092354488E1,-2.144606113E0,-7.900865555E0
1.424053709E0,-2.774999428E1,1.147421122E0,-4.108449936E0
1.444012354E0,-5.484756851E1,1.311843014E1,1.172440529E1
1.463971000E0,-5.992088318E1,1.752375984E1,2.716461182E1
1.483929646E0,-4.199070740E1,1.463395977E1,2.456211472E1
1.503888292E0,-2.240853119E1,1.159092903E1,1.401086807E1
1.523846938E0,-7.487865925E0,9.737816811E0,4.568136692E0
1.543805584E0,-1.485602140E0,8.308478355E0,4.206612587E0
1.563776573E0,3.424905539E0,6.457760334E0,6.586448669E0
1.583723032E0,6.788758755E0,4.405929565E0,6.936002254E0
1.603669907E0,8.749609947E0,3.129820108E0,4.912901878E0
1.623617719E0,9.003395081E0,2.808997154E0,1.460463047E0
1.643566782E0,4.444835663E0,4.049193859E0,-4.788403213E-2
1.663517511E0,3.056198359E0,4.331709385E0,-1.821987510E0
1.683470115E0,1.827973008E0,4.331709385E0,-2.542642117E0
1.703424802E0,5.805938840E-1,4.695628166E0,-2.590526342E0
1.723381573E0,-6.284779310E-1,5.229535103E0,-2.863465309E0
1.743340427E0,-2.026691675E0,5.258265495E0,8.044517636E-1
1.763301261E0,-5.869385242E0,6.694786549E0,9.835380554E0
