"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.558042900E-2,3.230975151E0,3.359663486E0,1.546654344E0
4.553917900E-2,1.095347285E0,5.155314922E0,2.480392933E0
6.549792900E-2,-4.248510838E0,8.473678589E0,8.101978302E0
8.545667900E-2,-7.830236435E0,1.320462132E1,1.482968521E1
1.107346480E-1,-1.346858120E1,1.691084480E1,1.943852425E1
1.303487100E-1,-1.439274311E1,1.367627907E1,1.653435707E1
1.499767830E-1,-1.157955647E1,8.021174431E0,1.255519390E1
1.696316270E-1,-9.611522675E0,3.062782526E0,1.855506325E1
1.893243870E-1,-6.283582211E0,-6.961141229E-1,2.274252129E1
2.090642310E-1,-3.506308317E0,-2.532466888E0,2.001073837E1
2.288580850E-1,-5.498284340E0,-2.510919094E0,1.038844109E1
2.487104810E-1,-6.760028362E0,5.464765429E-1,4.343081951E0
2.686234500E-1,-5.783194065E0,8.457517624E-1,2.075772762E0
2.885964710E-1,-4.808753967E0,-7.775170207E-1,1.235408068E0
3.086266270E-1,-3.681085110E0,-1.479018092E0,2.576161146E0
3.287084500E-1,-3.829525709E0,-2.544437885E0,3.100491285E0
3.488350120E-1,-3.661931515E0,-2.022501945E0,1.520318031E0
3.689982940E-1,-4.626794815E0,-1.198896527E0,-3.330334663E0
3.891887100E-1,-5.040991783E0,-9.038111567E-2,-7.987056732E0
4.093959500E-1,-5.720944881E0,1.195305228E0,-8.113949776E0
4.296094920E-1,-7.684190273E0,3.141791105E0,-2.205059767E0
4.497100120E-1,-6.515820026E0,4.513668537E0,4.831499100E0
4.696685540E-1,-6.276399612E0,6.455366135E0,9.545681953E0
4.895992310E-1,-1.074876881E1,7.278971672E0,1.191354752E1
5.095316270E-1,-1.379658699E1,6.804919720E0,1.737711525E1
5.294668350E-1,-1.132816505E1,6.311714172E0,2.013284302E1
5.494057420E-1,-6.475118637E0,6.610989571E0,1.904587364E1
5.693490230E-1,-1.159990668E0,7.082647324E0,1.536598682E1
5.893006890E-1,8.487445116E-1,7.937376976E0,1.172679996E1
6.092625640E-1,-8.259996027E-2,8.567051888E0,8.635885239E0
6.292282940E-1,-1.466448545E0,8.945336342E0,7.316680431E0
6.491974600E-1,-2.223016262E0,9.206304550E0,7.247248650E0
6.691695440E-1,-1.571793437E0,9.280524254E0,7.297526836E0
6.891439190E-1,-2.813186944E-1,8.971672058E0,6.426037312E0
7.091198560E-1,5.279214978E-1,7.832032204E0,4.853046894E0
7.290966270E-1,7.170634270E-1,6.457760334E0,3.596091032E0
7.490733980E-1,9.205705523E-1,5.121796131E0,2.978386879E0
7.690344390E-1,1.626860023E0,4.243124008E0,3.950432777E0
7.889931890E-1,1.552639842E0,3.891176224E0,6.253654957E0
8.089519390E-1,1.883039594E0,4.267066002E0,6.986280441E0
8.289106890E-1,2.124854088E0,4.676474571E0,7.347805023E0
8.488761580E-1,-2.297236443E0,5.593453884E0,9.430760384E0
8.688338140E-1,-8.098387718E0,6.081871033E0,1.200931549E1
8.887896480E-1,-8.735244751E0,6.644508362E0,1.115219116E1
9.087439190E-1,-7.650671482E0,7.166444302E0,1.036689377E1
9.286989190E-1,-7.753622055E0,6.898293495E0,1.126471901E1
9.486545440E-1,-7.528567314E0,5.931035995E0,9.902418137E0
9.686109500E-1,-8.122329712E0,5.349245071E0,6.284779549E0
9.885681890E-1,-9.034520149E0,5.282207489E0,3.404554844E0
1.008526367E0,-7.547720909E0,4.767454147E0,1.850717902E0
1.028486523E0,-5.617994308E0,3.611054659E0,1.996764183E0
1.048449804E0,-4.052186489E0,2.107496023E0,3.390189648E0
1.068415377E0,-3.305195332E0,1.037287831E0,4.766855717E0
1.088390377E0,-3.683479309E0,6.613982320E-1,4.261679173E0
1.108334023E0,-4.076128483E0,6.278793812E-1,1.577778935E0
1.128278189E0,-4.368220806E0,7.499836683E-1,-2.178723574E0
1.148224127E0,-6.482301235E0,1.171363235E0,-3.145981073E0
1.168171627E0,-9.058462143E0,2.050035238E0,-6.631938815E-1
1.188121106E0,-1.153646088E1,2.959831953E0,3.169923067E0
1.208072877E0,-1.542464447E1,3.905541420E0,7.395689011E0
1.228027044E0,-2.137423515E1,3.505709887E0,1.638112831E1
1.247983710E0,-1.988025475E1,2.603095770E0,2.238817978E1
1.267942877E0,-1.173278522E1,3.742735863E0,2.034832001E1
1.287904439E0,-5.768828869E0,6.151302814E0,1.603396797E1
1.307868189E0,-3.005920172E0,8.449736595E0,1.153765774E1
1.327833814E0,-2.124854088E0,1.041058731E1,6.885724068E0
1.347821262E0,-1.689109325E0,1.108814621E1,4.010287762E0
1.367796523E0,-2.515108824E0,1.022144604E1,3.560178041E0
1.387757460E0,-2.112883091E0,8.988431931E0,4.556165695E0
1.407716314E0,-4.908113554E-2,8.078635216E0,5.228936672E0
1.427675169E0,1.322796464E0,6.883928299E0,5.647922039E0
1.447633971E0,2.163161278E0,5.117007732E0,6.667851925E0
1.467592721E0,2.862268209E0,3.651756048E0,6.505045891E0
1.487551471E0,3.329137564E0,2.662950754E0,4.185064793E0
1.507510221E0,3.204638958E0,2.078765631E0,1.984793186E0
1.527468971E0,2.088941097E0,2.172139406E0,1.893813491E0
1.547427721E0,2.050633669E0,2.911947727E0,4.007893562E0
1.567386471E0,3.791218281E0,4.417900562E0,7.754819393E0
1.587357669E0,1.313219666E0,7.300519466E0,1.795411873E1
1.607304752E0,-1.538633728E1,9.816825867E0,3.123954391E1
1.627252252E0,-2.372055244E1,9.096170425E0,3.197456360E1
1.647200585E0,-1.595376301E1,8.241440773E0,1.987187386E1
1.667150169E0,-1.409346867E1,7.999626637E0,1.422395229E1
1.687101314E0,-1.170644951E1,6.883928299E0,1.338837624E1
1.707054231E0,-6.527791023E0,3.354875088E0,1.026633644E1
1.727009127E0,-2.053027868E0,4.890156984E-1,6.883329868E0
1.746966106E0,5.039794445E-1,-1.361702204E0,5.011064053E0
1.766925169E0,5.853823423E-1,-3.679289579E0,1.625662923E0
1.786886210E0,-5.470750928E-1,-5.836465359E0,-3.335123062E0
1.806849023E0,-1.739387512E0,-6.583456039E0,-7.192182064E0
1.826813398E0,-1.217451572E0,-5.558737755E0,-9.454702377E0
1.846800221E0,1.564610839E0,-4.196436882E0,-1.139161205E1
1.866769960E0,2.989160776E0,-3.827729940E0,-1.132217979E1
1.886728814E0,2.251746655E0,-4.385579109E0,-1.025915432E1
1.906687669E0,-1.442506552E0,-3.135805607E0,-7.338228226E0
1.926646523E0,-6.115988255E0,-1.565209389E0,-5.049371243E0
1.946605377E0,-1.307593250E1,4.686051369E0,-1.606509328E0
1.966564231E0,-3.241150665E1,1.675522232E1,1.040998936E1
1.986523085E0,-5.213972855E1,2.692818451E1,2.390849876E1
2.006481939E0,-4.581903458E1,2.087085533E1,2.807201576E1
2.026440794E0,-2.172618294E1,1.112166500E1,2.562753487E1
2.046399648E0,-3.977966070E0,5.849633217E0,1.698686028E1
2.066358502E0,-3.315969408E-1,5.155314922E0,7.345410824E0
2.086333294E0,1.696291924E0,4.346074581E0,5.458779931E-1
2.106276627E0,4.167108059E0,3.290231705E0,-1.589749932E0
2.126220481E0,6.618770599E0,1.580771685E0,-1.417367458E0
2.146165481E0,7.064092159E0,1.610100716E-1,3.280056417E-1
2.166112148E0,5.704185486E0,9.798270464E-1,2.296039343E0
2.186060898E0,4.222174644E0,2.524087191E0,1.651999116E0
2.206012044E0,5.886145115E0,1.465849996E0,-5.746084079E-2
2.225965794E0,7.899668694E0,9.247604012E-1,-1.788468719E0
2.245922252E0,5.486313343E0,2.172139406E0,-6.943184882E-2
2.265881419E0,4.832695961E0,4.097077847E0,1.599326730E0
2.285843189E0,2.680308819E0,6.520009995E0,7.417236805E0
2.305807356E0,-1.624465823E0,1.039622211E1,1.666843224E1
2.325773606E0,-6.439205647E0,1.809597588E1,2.355176163E1
2.345768762E0,-1.545576954E1,2.739505386E1,2.307052803E1
2.365742408E0,-2.929664993E1,3.180038643E1,2.468661308E1
2.385701314E0,-3.348171234E1,2.621950150E1,1.724304008E1
2.405660169E0,-2.163759804E1,1.603456688E1,9.449913979E0
2.425619023E0,-1.206557941E1,6.831255913E0,8.420407295E0
2.445577877E0,-4.748898983E0,2.232593149E-1,8.092401505E0
2.465536731E0,-4.189852998E-2,-5.020042419E0,4.335899353E0
2.485495585E0,2.175132275E0,-8.652046204E0,-4.836287498E-1
2.505454439E0,4.332307816E0,-1.123538971E1,-7.931990147E0
2.525413294E0,5.555745125E0,-1.202308273E1,-1.299093819E1
2.545372148E0,2.977189779E0,-1.181957531E1,-1.142991924E1
2.565331002E0,7.625532150E-1,-1.104385376E1,-8.607154846E0
2.585313033E0,1.423352957E0,-9.518747330E0,-6.981492043E0
2.605272825E0,1.820790410E0,-8.563461304E0,-6.100425720E0
2.625186210E0,-8.415619135E-1,-7.390302181E0,-5.544970989E0
2.645102252E0,-4.818330765E0,-6.219537258E0,-4.726154327E0
2.665022564E0,-9.860519409E0,-4.881178856E0,-4.434061527E0
2.684948502E0,-1.528817463E1,-3.765480757E0,-5.923254967E0
2.704881158E0,-2.503496933E1,1.559223890E0,1.170764685E0
2.724821314E0,-5.704305267E1,2.076072121E1,3.301364899E1
2.744769439E0,-7.573697662E1,3.281792068E1,5.129337692E1
2.764725637E0,-4.197155380E1,2.406472015E1,3.360022736E1
2.784689700E0,-1.127070427E1,1.254860973E1,2.008256340E1
2.804661106E0,3.113659382E0,7.568670273E0,9.502586365E0
2.824639075E0,6.491878033E0,5.033210754E0,2.923320293E0
2.844622617E0,8.297105789E0,3.242347717E0,-1.019929886E0
2.864610533E0,9.788693428E0,1.262342811E0,-2.346317768E0
2.884601471E0,8.186972618E0,1.131260321E-1,-1.556231141E0
2.904594023E0,5.074510574E0,4.698620737E-1,-9.672574997E-1
2.924581471E0,2.761711597E0,1.626261473E0,-1.312022567E0
2.944551887E0,3.049015760E0,3.333327293E0,-3.236960649E0
2.964510846E0,4.365826607E0,3.927089453E0,-5.269638062E0
2.984469804E0,4.971560001E0,3.941454649E0,-5.370194435E0
3.004428762E0,4.430470467E0,3.544017076E0,-3.318363667E0
3.024387721E0,4.145560265E0,3.165733099E0,-1.675941199E-1
3.044346679E0,3.985148668E0,3.747524261E0,4.522646904E0
3.064305637E0,-1.526303530E0,6.869563103E0,1.356794071E1
3.084287096E0,-1.051174259E1,1.534743118E1,2.264435959E1
3.104223762E0,-1.797925758E1,2.506070709E1,2.447113609E1
3.124161262E0,-4.182789993E1,2.829048538E1,2.955881500E1
3.144100429E0,-4.051108932E1,2.120604324E1,1.467885017E1
3.164041992E0,-2.008615494E1,1.234270859E1,-8.068459630E-1
3.183986575E0,-9.065644264E0,5.162497520E0,3.885789394E0
3.203934596E0,-1.255758762E0,-1.526902080E0,7.503427982E0
3.223886367E0,2.069787264E0,-3.626616955E0,3.258508444E0
3.243841992E0,2.361880064E0,-3.545214176E0,-2.049436569E0
3.263801471E0,7.433996201E-1,-4.584297657E0,-4.644751072E0
3.283764700E0,-2.541445017E0,-5.127781391E0,-3.845088005E0
3.303731367E0,-2.263717651E0,-6.068702698E0,-5.372588634E0
3.323700950E0,-4.201824069E-1,-6.341641903E0,-7.304709435E0
3.343719960E0,4.082113802E-1,-6.241085052E0,-8.085219383E0
3.363691002E0,-5.781996846E-1,-5.506065369E0,-8.015787125E0
3.383650064E0,-2.179920673E0,-3.978564739E0,-6.373364925E0
3.403609023E0,-4.133589268E0,-2.817376852E0,-4.402936935E0
3.423567981E0,-7.770381451E0,-3.466205597E0,-5.765237808E0
3.443526939E0,-8.732851028E0,-9.570821524E-1,1.436520964E-1
3.463485898E0,-9.728838921E0,8.483255386E0,6.825869083E0
3.483444856E0,-3.876571655E1,2.343025589E1,3.226426315E1
3.503403814E0,-5.238393784E1,2.992572594E1,4.001908112E1
3.523362773E0,-2.728791428E1,2.095465088E1,2.297954750E1
3.543321731E0,-9.324218750E0,1.180161858E1,1.132457447E1
3.563280689E0,-2.158372879E0,7.788936615E0,3.191470861E0
3.583239648E0,1.643619418E0,5.114613533E0,-1.510741234E0
3.603199335E0,7.133523941E0,2.785055161E0,-2.803610086E0
3.623158606E0,1.109592819E1,1.017535757E-2,-3.529053211E0
3.643117617E0,7.011419773E0,-2.603694201E-1,-6.967126727E-1
3.663076575E0,1.710657120E0,1.089960337E0,1.314416766E0
3.683035533E0,8.499415964E-2,2.660556555E0,6.655880809E-1
3.702994492E0,1.227028370E0,3.421912670E0,-1.115697980E0
3.722953450E0,4.061763287E0,3.175309896E0,-2.047042370E0
3.742912408E0,5.287594318E0,2.308609009E0,-1.400607944E0
3.762871367E0,6.506243229E0,2.093130827E0,2.051830769E0
3.782830325E0,5.756857872E0,2.243965626E0,6.153098583E0
3.802789283E0,2.136825085E0,4.729146957E0,1.149695683E1
3.822748242E0,-3.034650564E0,9.792883873E0,1.453040981E1
3.842708450E0,-5.574898720E0,1.817977142E1,2.042493439E1
3.862667408E0,-3.250487900E1,2.687551308E1,3.184288216E1
3.882626367E0,-4.777509689E1,2.849638748E1,2.419101334E1
3.902585325E0,-3.055121040E1,1.944151688E1,9.986215591E0
3.922544283E0,-1.362420464E1,8.416217804E0,5.281609058E0
3.942503242E0,-3.446453333E0,7.739257216E-1,4.333505154E0
3.962462200E0,6.332663298E-1,-2.259527922E0,1.149216771E0
3.982421158E0,3.082534790E0,-3.351283789E0,-3.751713991E0
4.002380117E0,3.075352192E0,-4.189254284E0,-7.438784599E0
4.022339075E0,-1.200692177E0,-4.016871929E0,-6.552929878E0
4.042298033E0,-3.068169594E0,-3.638587952E0,-4.003105164E0
4.062256992E0,-2.148796082E0,-4.136581898E0,-2.789244890E0
4.082215950E0,1.337161660E0,-5.194818974E0,-4.280832767E0
4.102176523E0,3.805583715E0,-6.284181118E0,-6.991068840E0
4.122135742E0,4.511873245E0,-7.486070156E0,-9.684545517E0
4.142094856E0,3.604470730E0,-9.784503937E0,-1.047463226E1
4.162053919E0,6.835445762E-1,-1.207814884E1,-6.936002254E0
4.182012981E0,-7.372944355E0,-1.131679249E1,-8.595184088E-1
4.201972044E0,-2.210207367E1,-1.693897694E-1,4.309563160E0
4.221931106E0,-5.269039536E1,2.485959435E1,1.508586502E1
4.241890169E0,-7.973529816E1,4.044345474E1,3.018130684E1
4.261849231E0,-4.689403152E1,2.896325684E1,3.313574982E1
4.281808294E0,-9.683348656E0,1.507209778E1,2.809356308E1
4.301767356E0,2.479195833E0,9.239823341E0,1.275870132E1
4.321726419E0,5.998672485E0,6.733093739E0,-9.169792533E-1
4.341687721E0,8.644265175E0,4.652532578E0,-6.986280441E0
4.361645325E0,8.249221802E0,2.761113167E0,-4.750096321E0
4.381602929E0,5.706579685E0,1.307832718E0,1.474828243E0
4.401560637E0,3.350685358E0,9.271546006E-1,6.189011574E0
4.421518450E0,4.243722439E0,6.805518270E-1,5.006275654E0
4.441476471E0,6.056133270E0,7.523778677E-1,-1.580173075E-1
4.461434700E0,7.171831131E0,9.415197968E-1,-4.632780075E0
4.481393137E0,6.479907036E0,1.731606364E0,-6.387730122E0
4.501351783E0,2.675520420E0,2.852092743E0,-4.252102375E0
4.521310742E0,-1.528697729E0,4.944624901E0,-8.978256583E-1
4.541270012E0,-2.950853586E0,8.231863976E0,1.517923832E0
4.561229492E0,-2.797624588E0,1.400428391E1,6.100425720E0
4.581189179E0,-5.601234913E0,2.455074310E1,1.400129128E1
4.601153242E0,-2.523847771E1,3.435978699E1,2.347993660E1
4.621114231E0,-4.615661621E1,3.463751602E1,2.561556435E1
4.641073398E0,-3.183689690E1,2.257073784E1,1.018493366E1
4.661032564E0,-1.372715569E1,1.186626244E1,1.534683347E0
4.680991731E0,-2.840720415E0,3.572747469E0,5.135562420E0
4.700950898E0,3.276464939E0,-2.237980127E0,7.908048153E0
4.720910064E0,7.375338554E0,-5.656899929E0,5.209783077E0
4.740869231E0,4.413711071E0,-8.024765968E0,1.678335428E0
4.760828398E0,-3.870227098E0,-8.929773331E0,6.320692301E-1
4.780787564E0,-6.920440197E0,-8.905831337E0,-2.061407566E0
4.800746731E0,-3.968389273E0,-8.230667114E0,-7.163451672E0
4.820705898E0,2.175132275E0,-7.524377346E0,-1.187284660E1
4.840666262E0,5.989095688E0,-7.536348343E0,-1.341471195E1
4.860624283E0,5.603629112E0,-7.622539520E0,-1.064222622E1
4.880582304E0,1.430535555E0,-7.064690590E0,-6.291962147E0
4.900540325E0,-6.688202381E0,-5.115810394E0,-2.576161146E0
4.920498450E0,-1.560420990E1,-2.063203335E0,-2.358288765E0
4.940456679E0,-1.603516579E1,1.461061597E0,-5.023035049E0
4.960415117E0,-1.103128433E1,8.983643532E0,1.766920805E0
4.980373762E0,-3.154240990E1,2.875017166E1,3.331531525E1
5.000332617E0,-5.461054230E1,3.636612701E1,5.173869705E1
5.020291679E0,-2.377801323E1,2.711014366E1,3.393302155E1
5.040250950E0,-4.258087635E0,1.578078175E1,1.628296661E1
5.060210429E0,2.038662672E0,9.005190849E0,6.607996821E-1
5.080170117E0,7.712920666E0,4.307767391E0,-8.391676903E0
5.100133450E0,1.045428181E1,1.087566137E0,-1.024718285E1
5.120093606E0,8.773551941E0,-1.105522633E0,-7.311892033E0
5.140052773E0,4.909310818E0,-1.419163108E0,-2.525882721E0
5.160011939E0,7.242460251E-1,-4.782418013E-1,2.063801765E0
5.179971106E0,-5.626374111E-2,1.647809267E0,3.962403774E0
5.199930273E0,2.800018787E0,1.956661344E0,1.532289028E0
5.219889439E0,5.706579685E0,2.040458441E0,8.954314590E-1
5.239848606E0,6.642712593E0,1.923142552E0,1.493981838E0
5.259807773E0,4.016273499E0,2.260725021E0,2.940079689E0
5.279766939E0,1.270123959E0,3.239953518E0,6.864176273E0
5.299726106E0,-7.026981711E-1,5.389946461E0,1.228225517E1
5.319685273E0,-1.440112352E0,9.845556259E0,1.410663605E1
5.339649439E0,-1.759738177E-1,1.826596260E1,1.363497829E1
