"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.558042900E-2,1.007464695E1,-1.864621878E0,-2.814158440E0
4.553917900E-2,7.787922382E0,-1.113080978E-1,-1.991396427E0
6.549792900E-2,2.124440193E0,3.291050911E0,3.077987671E0
8.545667900E-2,-1.998186111E0,8.119098663E0,9.007815361E0
1.107346480E-1,-8.027577400E0,1.179581833E1,1.312425232E1
1.303487100E-1,-9.208502769E0,8.527995110E0,9.913860321E0
1.499767830E-1,-6.765267372E0,3.061288834E0,5.462861538E0
1.696316270E-1,-5.246715069E0,-1.504124165E0,1.086301613E1
1.893243870E-1,-2.318381071E0,-4.910337448E0,1.457750511E1
2.090642310E-1,2.323620319E-1,-6.652163506E0,1.165068245E1
2.288580850E-1,-1.725086927E0,-6.718545914E0,2.090648651E0
2.487104810E-1,-2.823840857E0,-3.781397820E0,-3.793663979E0
2.686234500E-1,-1.722529411E0,-3.559755325E0,-5.922268391E0
2.885964710E-1,-6.952500343E-1,-5.178587914E0,-6.691795826E0
3.086266270E-1,4.083545208E-1,-5.863260269E0,-5.328631878E0
3.287084500E-1,2.268714905E-1,-6.989960670E0,-4.742764950E0
3.488350120E-1,3.988730907E-1,-6.681571960E0,-6.143389702E0
3.689982940E-1,-5.164303780E-1,-6.187202454E0,-1.068351173E1
3.891887100E-1,-9.017786980E-1,-5.370923519E0,-1.502368355E1
4.093959500E-1,-1.644418240E0,-4.212732792E0,-1.500306511E1
4.296094920E-1,-3.756401062E0,-2.265783310E0,-9.136260033E0
4.497100120E-1,-2.696302891E0,-8.974261284E-1,-2.150315762E0
4.696685540E-1,-2.382997513E0,1.002732754E0,2.613540649E0
4.895992310E-1,-6.601773739E0,1.837152958E0,5.068408489E0
5.095316270E-1,-9.454364777E0,1.477921486E0,1.047434044E1
5.294668350E-1,-6.927370548E0,1.123407841E0,1.307014656E1
5.494057420E-1,-2.045320511E0,1.504712582E0,1.187018394E1
5.693490230E-1,3.406173229E0,1.989642620E0,8.229259491E0
5.893006890E-1,5.702257156E0,2.844306469E0,4.768003941E0
6.092625640E-1,5.103445053E0,3.508520603E0,1.892249107E0
6.292282940E-1,3.994689941E0,3.949821949E0,7.433533669E-1
6.491974600E-1,3.406565666E0,4.262209892E0,7.726731300E-1
6.691695440E-1,4.115420341E0,4.323016167E0,8.810482025E-1
6.891439190E-1,5.375794411E0,3.912500381E0,7.063961029E-2
7.091198560E-1,6.096785069E0,2.594224930E0,-1.411756516E0
7.290966270E-1,6.146510601E0,1.002067566E0,-2.569173098E0
7.490733980E-1,6.142956257E0,-5.545225143E-1,-3.121900558E0
7.690344390E-1,6.593736172E0,-1.631763458E0,-2.129572630E0
7.889931890E-1,6.264332771E0,-2.180767775E0,1.986207962E-1
8.089519390E-1,6.380343914E0,-2.026953220E0,1.025124550E0
8.289106890E-1,6.527546883E0,-1.823899746E0,1.566865921E0
8.488761580E-1,2.196791887E0,-1.034574032E0,3.864929199E0
8.688338140E-1,-3.462581158E0,-6.135573387E-1,6.599729061E0
8.887896480E-1,-3.994637489E0,-7.252550125E-2,5.814838886E0
9.087439190E-1,-2.793199539E0,4.922122955E-1,5.039872646E0
9.286989190E-1,-2.731303692E0,2.966818810E-1,5.955592632E0
9.486545440E-1,-2.298823833E0,-6.051163673E-1,4.682614326E0
9.686109500E-1,-2.655615330E0,-1.104476929E0,1.193855286E0
9.885681890E-1,-3.372088432E0,-1.050935268E0,-1.627685785E0
1.008526367E0,-1.789990425E0,-1.379862309E0,-3.287602901E0
1.028486523E0,1.282544136E-1,-2.276112080E0,-3.419533014E0
1.048449804E0,1.595718861E0,-3.484192848E0,-2.391024590E0
1.068415377E0,2.207703114E0,-4.308736324E0,-1.330681801E0
1.088390377E0,1.690198183E0,-4.562624454E0,-2.025253773E0
1.108334023E0,1.167955399E0,-4.618052483E0,-4.751807213E0
1.128278189E0,7.899136543E-1,-4.595839500E0,-8.430116653E0
1.148224127E0,-1.381309986E0,-4.251541138E0,-9.318058968E0
1.168171627E0,-4.020771980E0,-3.389735937E0,-6.839354992E0
1.188121106E0,-6.530052185E0,-2.434734583E0,-3.071177959E0
1.208072877E0,-1.031822205E1,-1.349400997E0,1.075045109E0
1.228027044E0,-1.610760117E1,-1.486795902E0,9.870168686E0
1.247983710E0,-1.463255405E1,-2.120514393E0,1.553739738E1
1.267942877E0,-6.579870701E0,-8.027546406E-1,1.321981621E1
1.287904439E0,-5.452342033E-1,1.659191608E0,8.871242523E0
1.307868189E0,2.505613089E0,3.918089390E0,4.593876362E0
1.327833814E0,3.744735956E0,5.845764637E0,2.598085403E-1
1.347821262E0,4.465458870E0,6.576681137E0,-2.379387856E0
1.367796523E0,3.792689562E0,5.841788769E0,-2.758862972E0
1.387757460E0,4.215280533E0,4.747123718E0,-1.822071552E0
1.407716314E0,6.220089436E0,3.914328098E0,-1.233464241E0
1.427675169E0,7.500918388E0,2.711335659E0,-8.648772240E-1
1.447633971E0,8.225075722E0,8.395757675E-1,1.489481926E-1
1.467592721E0,8.780800819E0,-8.344449997E-1,3.782176971E-2
1.487551471E0,9.077718735E0,-2.095588207E0,-2.180765629E0
1.507510221E0,8.759890556E0,-2.941727638E0,-4.279241562E0
1.527468971E0,7.437135220E0,-3.061948299E0,-4.308930397E0
1.547427721E0,7.163302422E0,-2.485952139E0,-2.201322079E0
1.567386471E0,8.687222481E0,-1.073244572E0,1.484856606E0
1.587357669E0,6.204313278E0,1.803072929E0,1.164382076E1
1.607304752E0,-1.028270912E1,4.230043411E0,2.499288940E1
1.627252252E0,-1.861135292E1,3.167041302E0,2.583168983E1
1.647200585E0,-1.106696415E1,1.980025768E0,1.375523949E1
1.667150169E0,-9.476088524E0,1.582081318E0,7.976315498E0
1.687101314E0,-7.373866558E0,3.576741219E-1,6.987890244E0
1.707054231E0,-2.438429356E0,-3.300152779E0,3.828660965E0
1.727009127E0,1.963098049E0,-6.324879169E0,6.046090126E-1
1.746966106E0,4.741497517E0,-8.417265892E0,-7.680196762E-1
1.766925169E0,5.281405449E0,-1.103465176E1,-3.248126507E0
1.786886210E0,4.630922794E0,-1.341107941E1,-7.101410389E0
1.806849023E0,3.799484015E0,-1.421992683E1,-9.982576370E0
1.826813398E0,4.534595490E0,-1.314420128E1,-1.160702896E1
1.846800221E0,7.419839859E0,-1.167494392E1,-1.325558758E1
1.866769960E0,8.891821861E0,-1.115984154E1,-1.318719292E1
1.886728814E0,8.220585823E0,-1.151609993E1,-1.226741505E1
1.906687669E0,4.603952885E0,-1.002422714E1,-9.638698578E0
1.926646523E0,-1.797437668E-2,-8.162358284E0,-7.847519875E0
1.946605377E0,-6.879522800E0,-1.532171249E0,-5.017418385E0
1.966564231E0,-2.591002464E1,1.092502594E1,6.536780357E0
1.986523085E0,-4.534836578E1,2.124527359E1,1.967571259E1
2.006481939E0,-3.918125534E1,1.510214329E1,2.321814728E1
2.026440794E0,-1.551363564E1,5.081871033E0,2.032026291E1
2.046399648E0,2.063352108E0,-5.994696617E-1,1.192795658E1
2.066358502E0,5.819506645E0,-1.698577881E0,3.041547298E0
2.086333294E0,7.986000061E0,-2.790055752E0,-2.924280167E0
2.106276627E0,1.055665016E1,-3.981701374E0,-4.369188786E0
2.126220481E0,1.306721020E1,-5.681823730E0,-3.814462900E0
2.146165481E0,1.357082272E1,-6.974098682E0,-1.992851615E0
2.166112148E0,1.226157379E1,-5.998207092E0,-9.260869026E-2
2.186060898E0,1.076623154E1,-4.374145985E0,-7.879772186E-1
2.206012044E0,1.231787682E1,-5.429225922E0,-2.550136328E0
