"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.484231200E-2,4.456806660E0,2.938283920E0,7.522581577E0
4.480215500E-2,4.011485100E0,2.320580006E0,8.207323074E0
6.476199900E-2,2.268506050E0,2.823362350E0,8.504204750E0
8.472184300E-2,7.649474144E-1,3.790619850E0,8.465897560E0
1.046816870E-1,1.071405292E0,4.173692226E0,7.939172745E0
1.246415300E-1,2.756923199E0,3.579930067E0,6.588842869E0
1.446013740E-1,3.298012733E0,3.527257681E0,6.133944988E0
1.645612180E-1,2.943670988E0,4.044404984E0,6.531382084E0
1.845210620E-1,2.507926226E0,4.580706596E0,7.345410824E0
2.044809050E-1,1.895010591E0,4.772242546E0,8.360552788E0
2.244407490E-1,2.038662672E0,4.944624901E0,8.858546257E0
2.444005930E-1,2.268506050E0,4.973355293E0,8.571242332E0
2.643604370E-1,2.570175409E0,5.045181751E0,7.862558365E0
2.843202800E-1,2.905363798E0,5.356427670E0,7.105990410E0
3.042801240E-1,3.077746391E0,5.696404457E0,6.732495308E0
3.242399680E-1,3.010708570E0,5.835268021E0,8.336610794E0
3.441998120E-1,3.230975151E0,5.145738125E0,1.140118885E1
3.641596550E-1,3.561375141E0,4.585494995E0,1.289517021E1
3.841194990E-1,3.527856112E0,4.513668537E0,1.197579670E1
4.040793430E-1,3.144783974E0,4.662109375E0,9.734824181E0
4.240391870E-1,3.910928488E0,4.073135853E0,8.475474358E0
4.439990300E-1,5.079298973E0,3.005321741E0,8.987833023E0
4.639588740E-1,4.911705017E0,2.220023632E0,1.020887566E1
4.839187180E-1,3.187879562E0,2.033275843E0,1.201410389E1
5.038785620E-1,1.703474522E0,1.669357181E0,1.112346077E1
5.238384050E-1,1.622071624E0,2.401982784E0,8.202534676E0
5.437982490E-1,2.819172382E0,2.397194386E0,5.698200226E0
5.637580930E-1,4.872200489E-1,1.468244195E0,9.121908188E0
5.837179370E-1,1.990778685E0,2.550423384E0,7.091625214E0
6.036777800E-1,7.218518257E-1,2.607884169E0,8.245630264E0
6.236376240E-1,-2.050633669E0,2.473809004E0,1.010353088E1
6.435974680E-1,-9.540894032E-1,7.835025191E-1,8.259995461E0
6.635573120E-1,1.449689150E0,2.214636654E-2,7.972691536E0
6.835171550E-1,4.632780254E-1,5.009866953E-1,8.772355080E0
7.034769990E-1,3.004723191E-1,4.770447016E-1,9.160215378E0
7.234368430E-1,4.153940082E-1,2.088941038E-1,9.318233490E0
7.433966870E-1,-4.369418025E-1,1.367687702E0,7.307103634E0
7.633565300E-1,-7.481880188E-1,1.597531080E0,5.185841084E0
7.833163740E-1,-8.678981066E-1,2.282272816E0,3.519476414E0
8.032762180E-1,-2.070984542E-1,2.598307371E0,3.509899616E0
8.232360620E-1,8.128314614E-1,2.823362350E0,1.233971596E1
8.431959050E-1,2.153584480E0,2.567781210E-1,1.302924538E1
