"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.484231200E-2,1.558725595E0,-1.025218010E0,-1.040821552E0
4.480215500E-2,1.330902100E0,-1.620712757E0,-4.329700470E-1
6.476199900E-2,-1.856181622E-1,-1.137349844E0,-1.904745102E-1
8.472184300E-2,-1.534092426E0,-1.977267265E-1,-2.547197342E-1
1.046816870E-1,-1.195057273E0,1.699824333E-1,-7.778530121E-1
1.246415300E-1,4.604535103E-1,-4.173815250E-1,-2.112296581E0
1.446013740E-1,9.944703579E-1,-4.414625168E-1,-2.565820694E0
1.645612180E-1,6.686570644E-1,1.205329895E-1,-2.186348438E0
1.845210620E-1,2.843453884E-1,7.073383331E-1,-1.402984142E0
2.044809050E-1,-2.579492331E-1,9.301521778E-1,-4.188632965E-1
2.244407490E-1,-4.426789284E-2,1.099482298E0,6.092166901E-2
2.444005930E-1,2.311699390E-1,1.105037928E0,-2.284603119E-1
2.643604370E-1,5.486588478E-1,1.163568735E0,-9.334573746E-1
2.843202800E-1,8.917896748E-1,1.494971514E0,-1.696499825E0
3.042801240E-1,1.101709366E0,1.915327549E0,-2.108034134E0
3.242399680E-1,1.125002265E0,2.186540127E0,-5.816984177E-1
3.441998120E-1,1.447738528E0,1.610371828E0,2.399717331E0
3.641596550E-1,1.796409845E0,1.106582165E0,3.844918251E0
3.841194990E-1,1.679365754E0,1.064300060E0,2.912518501E0
4.040793430E-1,1.196200490E0,1.264043570E0,6.661176682E-1
4.240391870E-1,1.964963675E0,7.614161968E-1,-6.260271072E-1
4.439990300E-1,3.302455902E0,-2.194375992E-1,-1.811456680E-1
4.639588740E-1,3.449846745E0,-9.452464581E-1,9.579458237E-1
4.839187180E-1,2.063483953E0,-1.121756554E0,2.699744225E0
5.038785620E-1,8.106672764E-1,-1.530010700E0,1.792396545E0
5.238384050E-1,8.905016780E-1,-8.504981995E-1,-1.117444992E0
5.437982490E-1,2.267201185E0,-8.509252071E-1,-3.616660595E0
5.637580930E-1,-5.125564337E-2,-1.671255827E0,-2.269258499E-1
5.837179370E-1,1.541480422E0,-3.427846432E-1,-2.329133987E0
6.036777800E-1,5.942388773E-1,1.314547062E-1,-1.296571732E0
6.236376240E-1,-1.847482562E0,2.394559383E-1,5.000848770E-1
6.435974680E-1,-6.115339994E-1,-1.287599921E0,-1.367866516E0
6.635573120E-1,1.822224975E0,-1.870841146E0,-1.680008888E0
6.835171550E-1,8.760870695E-1,-1.224688172E0,-9.041881561E-1
7.034769990E-1,8.814381361E-1,-1.130872607E0,-5.241212845E-1
7.234368430E-1,1.191877604E0,-1.368792772E0,-3.539838791E-1
7.433966870E-1,3.869393766E-1,-2.476910353E-1,-2.342818737E0
7.633565300E-1,-5.244141817E-2,-4.175543785E-3,-4.454073906E0
7.833163740E-1,-3.251158595E-1,8.760029078E-1,-6.130590916E0
8.032762180E-1,3.979974985E-2,1.679939270E0,-6.180501461E0
8.232360620E-1,7.015904188E-1,2.355348349E0,2.600991249E0
8.431959050E-1,1.941926003E0,-4.087394476E-2,3.268867493E0
8.631557490E-1,-1.707510829E0,-1.164191842E0,5.007225990E0
8.831155930E-1,-3.285331964E0,-4.592623711E-1,1.928024292E0
9.030754370E-1,-3.078567505E0,-7.081687450E-2,-1.607143402E0
9.230352800E-1,-6.566323042E-1,1.415969968E0,-2.113469601E0
9.429951240E-1,1.463108301E0,3.217538118E0,-3.591582298E0
9.629549680E-1,1.850426555E0,4.084131241E0,-4.151705265E0
9.829148120E-1,-1.808273792E-1,4.214597225E0,-2.482242584E0
1.002874655E0,-3.988261938E0,4.186975002E0,2.277003288E0
1.022834499E0,-2.134399414E0,3.416956425E0,5.249703407E0
1.042794343E0,-3.581023216E-1,3.254503489E0,2.752556801E0
1.062754187E0,-1.672379971E0,4.033153534E0,-2.625633717E0
1.082714030E0,-2.596652269E0,3.847812653E0,-3.466602802E0
1.102673874E0,-4.001464844E0,3.413117886E0,-7.729835510E-1
1.122633718E0,-2.727676392E0,3.426208496E0,5.237223625E0
1.142593562E0,8.624005318E-1,3.307107449E0,8.844680786E0
1.162553405E0,1.276650429E0,3.415257454E0,7.414748192E0
1.182513249E0,-9.093666077E-2,2.416994572E0,3.872907639E0
1.202473093E0,-2.243730545E0,3.910405636E-1,6.439578056E0
1.222432937E0,-1.137852192E0,-2.288056850E0,1.469367695E1
1.242392780E0,3.122874737E0,-2.928036690E0,1.576856422E1
1.262352624E0,3.330471039E0,-2.467586279E0,7.898712635E0
1.282312468E0,2.682798386E0,-6.827614307E-1,5.276298523E-2
1.302272312E0,8.751006126E-1,-7.442317009E-1,-3.858668327E0
1.322232155E0,-3.689317703E0,-2.046608448E0,-3.069422245E0
1.342191999E0,-5.852656364E0,-3.239808559E0,-9.554386139E-1
1.362151843E0,-2.842439651E0,-3.021617413E0,9.534387589E-1
1.382111687E0,1.529479742E0,-1.804317236E0,-4.126062393E-1
1.402071530E0,4.693750381E0,-1.082370043E0,-4.667271137E0
1.422031374E0,5.647750854E0,-2.102763891E0,-9.614495277E0
1.441991218E0,5.196452141E-1,-2.284145594E0,-1.365439034E1
1.461951062E0,2.020225525E-1,-2.536008596E0,-5.717625618E0
1.481910905E0,3.062629700E0,-2.500281572E0,1.078762054E0
1.501870801E0,5.391838074E0,-3.382457972E0,-1.174723148E0
1.521830697E0,3.722623587E0,-1.862320900E0,-7.474724770E0
1.541790593E0,4.242829800E0,-6.156103611E-1,-7.658462048E0
1.561750489E0,4.772848129E0,2.463073730E-1,1.357296944E0
1.581710385E0,5.563811302E0,1.300628185E-1,1.186766052E1
1.601670280E0,7.887174129E0,1.684536934E-1,1.302263260E1
1.621630176E0,6.161024570E0,5.535130501E-1,5.955508232E0
1.641590072E0,1.636607647E0,1.934751511E0,9.791936874E-1
1.661549968E0,-3.654062510E0,2.411031723E0,2.516937256E-1
1.681509864E0,-5.562864304E0,2.598044872E0,9.885854721E-1
1.701469760E0,-7.917830944E0,3.951992989E0,-7.894930840E-1
1.721429655E0,-6.549038410E0,3.522758484E0,-2.363241196E0
1.741389551E0,-3.218073368E0,2.272610664E0,-3.187301636E0
1.761349447E0,-3.798523903E0,1.824491024E0,-3.708524227E0
1.781309343E0,-6.647295952E0,1.633543491E0,-4.163321972E0
1.801269239E0,-7.978737354E0,9.224495888E-1,-4.343981743E0
1.821229135E0,-7.742055893E0,-2.361216545E-1,-3.212704659E0
1.841189030E0,-7.096268177E0,-4.343464375E-1,-1.301624775E0
1.861148926E0,-4.453149796E0,-7.069437504E-1,-6.817426682E-1
1.881108822E0,-3.137380600E0,-1.091331959E0,-1.022462368E0
1.901068718E0,-5.511798382E0,-2.129420519E0,-2.576727390E0
1.921028614E0,-6.726570129E0,-2.044341087E0,-3.271287441E0
1.940988510E0,-5.748291969E0,-3.286600113E-2,-1.959886551E0
1.960948405E0,-1.976292133E0,3.603301048E0,1.196648121E0
1.980908301E0,4.532344818E0,6.512953758E0,9.649959564E0
2.000868197E0,8.288714409E0,5.794029236E0,1.614634514E1
2.020828093E0,6.692875862E0,3.906591415E0,1.234908104E1
2.040787989E0,6.455441475E0,2.822957516E0,8.691576004E0
2.060747885E0,4.076019287E0,1.730221748E0,5.420257092E0
