"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.610030487E2,5.239123000E1,4.958122900E0,NaN,NaN,NaN,1.000000000E3,0.000000000E0
1.657581477E2,5.238655222E1,4.953228270E0,1.897344725E1,4.789999962E0,1.729999924E1,1.929996300E1,3.003960609E1
1.667571887E2,5.238657557E1,4.953140540E0,2.639579266E1,2.670000076E0,3.352999878E2,1.564223862E1,2.269511795E1
1.677578500E2,5.238665736E1,4.953163630E0,3.217802711E1,3.980000019E0,3.417999878E2,1.603506279E1,2.052676773E1
1.687576557E2,5.238675124E1,4.953139730E0,2.823094232E1,2.700000048E0,3.445000000E2,1.572727489E1,1.869679642E1
1.697577521E2,5.238671923E1,4.953147360E0,1.926758330E1,2.410000086E0,3.455000000E2,1.614550209E1,1.876737213E1
1.707573351E2,5.238671364E1,4.953133620E0,1.567943256E1,2.789999962E0,3.586000061E2,1.448113823E1,1.698005104E1
1.717587091E2,5.238674442E1,4.953091200E0,1.375281594E1,3.349999905E0,2.099999905E0,1.415814114E1,1.598961926E1
1.727576752E2,5.238680359E1,4.953096220E0,1.555710236E1,3.539999962E0,3.547999878E2,1.406100273E1,1.650548553E1
1.737596271E2,5.238685037E1,4.953109350E0,1.993443495E1,3.660000086E0,1.399999976E0,1.332334423E1,1.595885181E1
1.747590224E2,5.238692076E1,4.953161170E0,2.509405029E1,4.079999924E0,7.699999809E0,1.119375134E1,1.443511105E1
1.757622617E2,5.238701354E1,4.953262370E0,1.346936352E1,2.329999924E0,8.600000381E0,5.387309074E0,7.287314892E0
1.761686217E2,5.238706066E1,4.953218850E0,1.810838232E1,2.259999990E0,2.100000000E1,4.143531799E0,5.127482414E0
1.771696556E2,5.238707852E1,4.953227610E0,1.882087624E1,2.609999895E0,1.200000000E1,4.085521698E0,4.466446877E0
1.781697883E2,5.238704113E1,4.953202730E0,2.201685340E1,3.130000114E0,1.519999981E1,4.468346596E0,5.578601360E0
1.791691294E2,5.238707489E1,4.953234370E0,2.166334327E1,3.650000095E0,2.860000038E1,4.936491013E0,6.158987045E0
1.801686219E2,5.238709019E1,4.953255810E0,2.239879017E1,2.119999886E0,3.259999847E1,5.407408237E0,6.624006271E0
1.811690400E2,5.238707004E1,4.953308960E0,1.234819430E1,3.190000057E0,6.630000305E1,4.685825825E0,5.846486092E0
1.821738083E2,5.238708543E1,4.953345960E0,1.258371143E1,3.200000048E0,5.850000000E1,4.946653366E0,6.182905197E0
1.831682279E2,5.238710104E1,4.953373760E0,1.209925280E1,2.640000105E0,4.920000076E1,5.328810215E0,6.347413063E0
1.841690844E2,5.238711769E1,4.953422860E0,1.323614596E1,3.410000086E0,6.530000305E1,5.221961021E0,6.249065399E0
1.851687596E2,5.238713597E1,4.953464320E0,1.323906482E1,3.470000029E0,5.220000076E1,5.090076447E0,5.883459568E0
1.861679728E2,5.238714833E1,4.953498540E0,1.237923910E1,2.259999990E0,6.120000076E1,4.848178387E0,5.404852390E0
1.871710761E2,5.238715945E1,4.953535750E0,1.093726003E1,3.150000095E0,6.000000000E1,4.681796551E0,5.045021057E0
1.881682445E2,5.238717929E1,4.953576150E0,1.082879134E1,3.259999990E0,5.709999847E1,4.349915981E0,4.469275475E0
1.891765267E2,5.238719521E1,4.953612630E0,8.776528155E0,2.759999990E0,5.400000000E1,3.994915247E0,3.960806131E0
1.901714380E2,5.238720915E1,4.953650240E0,8.501972772E0,2.950000048E0,5.629999924E1,3.937916756E0,3.777596712E0
1.911681548E2,5.238722732E1,4.953695550E0,9.031321946E0,4.119999886E0,5.640000153E1,3.961426497E0,3.792836428E0
1.921719761E2,5.238724941E1,4.953741400E0,9.925423114E0,3.720000029E0,5.170000076E1,3.837159634E0,3.546871901E0
1.931708998E2,5.238727613E1,4.953782560E0,8.322274725E0,4.460000038E0,3.990000153E1,3.802904606E0,3.470848083E0
1.941699489E2,5.238730562E1,4.953821330E0,8.298779769E0,4.110000134E0,3.900000000E1,3.790092468E0,3.211279869E0
1.951694871E2,5.238733358E1,4.953859420E0,8.562208507E0,4.110000134E0,3.979999924E1,3.828778505E0,3.281640291E0
1.961698291E2,5.238735826E1,4.953893170E0,8.862434241E0,3.420000076E0,4.209999847E1,3.895278692E0,2.999418497E0
1.971686562E2,5.238738123E1,4.953905280E0,8.974290430E0,2.910000086E0,2.829999924E1,3.934854031E0,2.863787889E0
1.981692174E2,5.238740523E1,4.953896440E0,8.908035287E0,2.859999895E0,3.799999952E0,3.790092468E0,2.726821184E0
1.991685410E2,5.238742841E1,4.953871650E0,7.525058250E0,2.680000067E0,3.398999939E2,3.790092468E0,2.500000000E0
2.001688380E2,5.238744956E1,4.953837940E0,7.954206910E0,2.690000057E0,3.338999939E2,3.790092468E0,2.500000000E0
2.011702825E2,5.238747030E1,4.953805060E0,7.916070312E0,2.660000086E0,3.347999878E2,3.790092468E0,2.500000000E0
2.021683415E2,5.238749480E1,4.953773120E0,8.240427412E0,2.960000038E0,3.368999939E2,3.790092468E0,2.500000000E0
2.031699558E2,5.238751997E1,4.953744640E0,8.004240609E0,2.869999886E0,3.366000061E2,3.790092468E0,2.500000000E0
2.041694910E2,5.238754547E1,4.953711490E0,7.556808876E0,2.890000105E0,3.343999939E2,3.790092468E0,2.500000000E0
2.051684605E2,5.238757143E1,4.953681630E0,7.356266924E0,2.970000029E0,3.365000000E2,3.790092468E0,2.500000000E0
2.061705039E2,5.238759876E1,4.953655940E0,7.481168807E0,2.940000057E0,3.362999878E2,3.790092468E0,2.500000000E0
2.071806620E2,5.238762693E1,4.953632130E0,6.390435776E0,3.160000086E0,3.362999878E2,3.790092468E0,2.500000000E0
2.081691062E2,5.238765451E1,4.953607950E0,5.683917998E0,3.049999952E0,3.326000061E2,3.790092468E0,2.500000000E0
2.091736543E2,5.238768146E1,4.953585710E0,5.173628480E0,3.029999971E0,3.338999939E2,3.790092468E0,2.500000000E0
2.101734311E2,5.238771093E1,4.953562480E0,4.578014825E0,3.309999943E0,3.338999939E2,3.790092468E0,2.500000000E0
2.111825590E2,5.238774045E1,4.953539400E0,4.273233849E0,3.230000019E0,3.342000122E2,3.790092468E0,2.500000000E0
2.121702720E2,5.238776903E1,4.953519560E0,3.939217583E0,3.190000057E0,3.381000061E2,3.790092468E0,2.500000000E0
2.131691356E2,5.238779795E1,4.953503190E0,3.409708219E0,3.200000048E0,3.417000122E2,3.790092468E0,2.500000000E0
2.141696615E2,5.238782669E1,4.953487300E0,3.448985499E0,3.210000038E0,3.410000000E2,3.790092468E0,2.500000000E0
2.151742129E2,5.238785399E1,4.953471640E0,3.427103636E0,2.970000029E0,3.395000000E2,3.790092468E0,2.500000000E0
2.161708152E2,5.238788128E1,4.953462490E0,3.158094206E0,3.160000086E0,3.535000000E2,3.790092468E0,2.500000000E0
2.171700241E2,5.238790878E1,4.953467290E0,3.362787058E0,2.990000010E0,1.319999981E1,3.790092468E0,2.500000000E0
2.181683811E2,5.238793369E1,4.953480880E0,3.430030174E0,2.910000086E0,1.280000019E1,3.790092468E0,2.500000000E0
2.191692979E2,5.238795687E1,4.953500660E0,2.879415549E0,3.099999905E0,2.729999924E1,3.790092468E0,2.500000000E0
2.201699944E2,5.238797838E1,4.953529920E0,3.024238644E0,3.109999895E0,3.670000076E1,3.790092468E0,2.500000000E0
2.211752420E2,5.238799870E1,4.953563470E0,2.546992233E0,3.170000076E0,3.940000153E1,3.790092468E0,2.500000000E0
2.221697106E2,5.238801941E1,4.953596860E0,2.658674508E0,3.190000057E0,4.020000076E1,3.790092468E0,2.500000000E0
2.231720696E2,5.238803947E1,4.953628770E0,2.352508314E0,3.059999943E0,3.940000153E1,3.790092468E0,2.500000000E0
2.241750721E2,5.238805856E1,4.953661710E0,2.028335967E0,3.130000114E0,4.100000000E1,3.790092468E0,2.500000000E0
2.251686307E2,5.238807883E1,4.953694780E0,2.243288914E0,3.109999895E0,4.250000000E1,3.790092468E0,2.500000000E0
2.261689267E2,5.238809961E1,4.953726570E0,2.984120746E0,3.029999971E0,4.290000153E1,3.790092468E0,2.500000000E0
2.271783291E2,5.238811834E1,4.953759080E0,3.180638555E0,2.880000114E0,4.640000153E1,3.790092468E0,2.500000000E0
2.281676269E2,5.238813874E1,4.953787110E0,3.147053592E0,3.019999981E0,3.429999924E1,3.790092468E0,2.500000000E0
2.291683907E2,5.238816134E1,4.953811060E0,2.649541161E0,3.079999924E0,3.200000000E1,3.790092468E0,2.500000000E0
2.301719511E2,5.238818029E1,4.953845580E0,2.338492097E0,3.309999943E0,5.370000076E1,3.790092468E0,2.500000000E0
2.311685556E2,5.238819874E1,4.953880690E0,1.798927040E0,3.069999933E0,4.670000076E1,3.790092468E0,2.500000000E0
2.321725581E2,5.238821928E1,4.953909320E0,2.243492041E0,3.009999990E0,3.900000000E1,3.790092468E0,2.500000000E0
2.331705863E2,5.238823903E1,4.953936520E0,2.566839262E0,2.859999895E0,4.309999847E1,3.790092468E0,2.500000000E0
2.341681059E2,5.238825808E1,4.953954800E0,2.853315050E0,2.339999914E0,2.339999962E1,3.790092468E0,2.500000000E0
2.351683849E2,5.238828603E1,4.953954150E0,3.410544430E0,3.369999886E0,3.560000000E2,3.790092468E0,2.500000000E0
2.361733168E2,5.238832052E1,4.953940020E0,3.335695188E0,3.680000067E0,3.452000122E2,3.790092468E0,2.500000000E0
2.371689895E2,5.238834881E1,4.953919790E0,2.634734921E0,3.130000114E0,3.372000122E2,3.790092468E0,2.500000000E0
2.381705925E2,5.238837164E1,4.953897080E0,2.210926075E0,2.990000010E0,3.313999939E2,3.790092468E0,2.500000000E0
2.391743414E2,5.238839580E1,4.953876630E0,1.665660480E0,3.099999905E0,3.382999878E2,3.790092468E0,2.500000000E0
2.401677164E2,5.238842428E1,4.953858900E0,2.364726356E0,3.240000010E0,3.401000061E2,3.790092468E0,2.500000000E0
2.411769696E2,5.238845205E1,4.953839680E0,2.110421211E0,3.089999914E0,3.338999939E2,3.790092468E0,2.500000000E0
