"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.007906700E-2,1.625626445E0,1.814604521E0,6.262750626E0
4.003979600E-2,-1.460548162E0,1.345698357E0,8.510464668E0
6.000052600E-2,2.879477501E0,1.305618525E0,9.019379616E0
8.494255700E-2,9.188454628E0,2.379199028E0,8.106572151E0
1.049032860E-1,-4.706277847E-1,1.186271191E0,5.180279732E0
1.248640150E-1,-1.806226373E0,6.680753231E-1,3.378771782E0
1.448247440E-1,-3.327136993E0,3.238115311E-1,6.446937561E0
1.647854730E-1,-3.933496475E0,5.507538319E-1,3.224950790E0
1.847462030E-1,-1.635736942E0,1.370898008E0,-2.374158382E0
2.047069320E-1,-2.666305304E0,9.679338932E-1,-2.597835541E0
2.246676610E-1,-2.149697304E0,4.404199123E-1,-4.350845814E0
2.446283900E-1,-9.100803733E-1,2.010476589E-1,-6.658148289E0
2.645891190E-1,-1.443701982E0,-5.027985573E-2,-8.885600090E0
2.845498480E-1,-3.400570631E0,-1.380934954E0,-9.934753418E0
3.045105780E-1,-4.593131542E0,-2.455392599E0,-8.027282715E0
3.244713070E-1,-4.846851349E0,-2.037166834E0,-6.053217888E0
3.444320360E-1,-4.032674313E0,-5.319254398E-1,-6.057689667E0
3.643927650E-1,-3.811950207E0,1.703534126E0,-5.684525490E0
3.843534940E-1,-4.117277622E0,4.987435818E0,-5.204262733E0
4.043142230E-1,-6.689735413E0,2.454798460E0,7.473593712E0
4.242749530E-1,-7.077457905E0,-1.848182678E0,1.866872597E1
4.442356820E-1,-5.358478546E0,-6.427617550E0,1.821034622E1
4.641964110E-1,5.380538702E-1,-2.169054508E0,1.024729252E1
4.841571400E-1,3.503171921E0,-3.568243980E-2,2.239583015E0
5.041178690E-1,5.753114700E0,1.029138088E0,1.049518585E-1
5.240785980E-1,4.672170162E0,-1.228578091E-1,2.534999847E0
5.440393280E-1,4.947933674E0,-1.498307705E0,3.843606949E0
5.640080260E-1,4.642710686E0,-1.842971087E0,7.787017822E-1
5.839548480E-1,4.762912750E0,-1.983851910E0,-1.810906410E0
6.039024530E-1,4.981470108E0,-1.886163235E0,-6.493681908E0
6.238513070E-1,6.226326942E0,-1.444906950E0,-9.253010750E0
6.438018280E-1,5.199567795E0,-1.724478722E0,-8.191085815E0
6.637543800E-1,4.867556095E0,-2.612638474E0,-6.409630299E0
6.837092230E-1,3.929484367E0,-2.442117691E0,-4.220197678E0
7.036665150E-1,2.508207798E0,-3.253513813E0,-2.811014175E0
7.236263070E-1,3.478149176E0,-2.004393101E0,2.171564102E-1
7.435885460E-1,3.793859005E0,1.296273947E0,1.204280853E-1
7.635530780E-1,2.033225298E0,2.538125515E0,2.629835129E0
7.835196400E-1,-1.299726367E-1,8.933846951E-1,8.840513229E0
8.035039110E-1,6.442431211E-1,-1.395728111E0,1.286083698E1
8.234910980E-1,1.833778024E0,-9.747526646E-1,1.081517506E1
8.434519320E-1,-1.037628174E0,6.517345905E-1,7.780865669E0
8.634126610E-1,-6.481662273E0,4.923713684E0,5.206831932E0
8.833733900E-1,-7.848293781E0,6.574616432E0,-1.497088909E0
9.033341190E-1,-5.565652370E0,4.492254257E0,-7.318598747E0
9.232948480E-1,-4.040983677E0,6.063597202E-1,-9.274066925E0
9.432555780E-1,-1.829008102E0,-3.496294975E0,-7.489003181E0
9.632163070E-1,8.041204214E-1,-5.717922688E0,-8.434333801E-1
9.831770360E-1,-3.164051175E-1,-4.262498856E0,2.963823318E0
1.003137765E0,-2.180236340E0,-3.311096430E0,-1.400566101E0
1.023098494E0,-3.755249739E0,-5.555533409E0,-4.397730827E0
1.043059223E0,-4.308449268E0,-6.656593323E0,-5.440690041E0
1.063029692E0,-3.443473339E0,-5.048559189E0,-9.457998276E0
1.082972817E0,-3.040865421E0,-4.655643940E0,-4.579149723E0
1.102916932E0,-1.784559608E0,-4.636054993E0,-1.329002380E-1
1.122862661E0,-3.624857426E0,-2.887007475E0,-1.213715553E0
