"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.293797260E-1,5.239179560E1,4.956256700E0,2.505294316E0,NaN,NaN,2.352000046E1,2.808758259E0
2.102715364E0,5.239192824E1,4.956406590E0,6.196019504E1,2.460000038E0,5.190000153E1,1.138339520E1,1.325122070E1
3.100901978E0,5.239196167E1,4.956209230E0,4.171324023E1,2.460000038E0,5.540000153E1,7.904188156E0,1.090559196E1
4.103613123E0,5.239199781E1,4.956231050E0,3.492100711E1,3.119999886E0,6.370000076E1,7.109012604E0,1.014078808E1
5.101221977E0,5.239201225E1,4.956287420E0,3.717820172E1,3.490000010E0,4.109999847E1,6.447385788E0,8.829784393E0
6.101414893E0,5.239203489E1,4.956335330E0,3.666324731E1,3.670000076E0,5.829999924E1,6.186662197E0,8.222262383E0
7.100657289E0,5.239205268E1,4.956382630E0,3.740762402E1,3.250000000E0,6.270000076E1,6.289310455E0,8.002213478E0
8.101563591E0,5.239206405E1,4.956430040E0,3.747059515E1,3.529999971E0,6.459999847E1,6.715791702E0,7.598090649E0
9.103365726E0,5.239207534E1,4.956490980E0,3.698474595E1,4.670000076E0,7.030000305E1,7.685432911E0,7.116593838E0
1.010277369E1,5.239208446E1,4.956558270E0,3.596221524E1,4.269999981E0,7.130000305E1,7.201383114E0,6.706780434E0
1.110267375E1,5.239209066E1,4.956619450E0,3.506669095E1,3.829999924E0,7.090000153E1,6.362453461E0,6.250564098E0
1.210193369E1,5.239209839E1,4.956677850E0,3.447579369E1,3.859999895E0,6.580000305E1,6.058954716E0,6.082319260E0
1.311185416E1,5.239210692E1,4.956737890E0,3.371656357E1,4.030000210E0,6.609999847E1,6.032934666E0,6.141870022E0
1.410415291E1,5.239211386E1,4.956797000E0,3.319823640E1,3.690000057E0,6.609999847E1,5.560177803E0,5.765483379E0
1.510379218E1,5.239211971E1,4.956853820E0,3.252798983E1,3.720000029E0,6.859999847E1,5.531847000E0,5.710201740E0
1.610387968E1,5.239212434E1,4.956911980E0,3.146669006E1,3.720000029E0,6.900000000E1,5.432126522E0,5.489728928E0
1.710862812E1,5.239212853E1,4.956970680E0,3.040325375E1,3.680000067E0,6.940000153E1,5.189611912E0,5.247132778E0
1.810235057E1,5.239213488E1,4.957028450E0,2.960819156E1,3.740000010E0,6.850000000E1,5.011745453E0,4.978631496E0
1.910953036E1,5.239214434E1,4.957086040E0,2.998604629E1,3.839999914E0,6.619999695E1,4.444283009E0,4.472449303E0
2.010387041E1,5.239215267E1,4.957143160E0,2.919751730E1,3.690000057E0,6.740000153E1,4.274836540E0,4.220837116E0
2.110724978E1,5.239215199E1,4.957201310E0,2.926481103E1,3.509999990E0,8.219999695E1,4.006195068E0,3.791177034E0
2.210487208E1,5.239212996E1,4.957266460E0,2.446849200E1,3.720000029E0,9.709999847E1,3.790092468E0,3.513007641E0
2.310732254E1,5.239209582E1,4.957321100E0,2.073019400E1,3.359999895E0,1.145000000E2,3.790092468E0,3.185951710E0
2.410719103E1,5.239206176E1,4.957372970E0,1.901807858E1,3.440000057E0,1.118000031E2,3.790092468E0,2.901391745E0
2.511501567E1,5.239204565E1,4.957420390E0,1.837788555E1,3.049999952E0,8.130000305E1,3.790092468E0,2.693268061E0
2.610632437E1,5.239204347E1,4.957460150E0,1.693460732E1,2.900000095E0,7.169999695E1,3.790092468E0,2.523620844E0
2.710821718E1,5.239205012E1,4.957497160E0,1.762384740E1,3.019999981E0,5.720000076E1,3.790092468E0,2.524617434E0
2.810308884E1,5.239206054E1,4.957532090E0,1.592527425E1,3.210000038E0,6.120000076E1,3.790092468E0,2.516374350E0
2.910198936E1,5.239207279E1,4.957573840E0,1.631014275E1,3.299999952E0,5.909999847E1,3.790092468E0,2.500000000E0
3.010423363E1,5.239208562E1,4.957616290E0,1.655035917E1,3.289999962E0,6.320000076E1,3.790092468E0,2.500000000E0
3.110273020E1,5.239209954E1,4.957651360E0,1.428788729E1,3.250000000E0,5.670000076E1,3.790092468E0,2.500000000E0
