"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.116355500E-2,-7.044938564E0,1.410783410E0,6.794744492E0
4.112121100E-2,-2.285265446E0,-2.439092875E0,3.246537447E0
6.107886700E-2,-1.927332431E-1,-3.487753391E0,2.331952572E0
8.601553400E-2,1.440112352E0,-5.656899929E0,-1.558625340E0
1.059731380E-1,-2.378639460E0,-6.415862083E0,-2.920926094E0
1.259307420E-1,-4.574122429E0,-6.650493622E0,-3.588908434E0
1.458883460E-1,-3.076549172E-1,-7.354389191E0,-7.278373241E0
1.658459500E-1,4.803965569E0,-8.304886818E0,-1.007001209E1
1.858035550E-1,5.033809185E0,-8.731055260E0,-9.574412346E0
2.057611590E-1,1.897404790E0,-8.125322342E0,-6.576871872E0
2.257187630E-1,-2.076969862E0,-7.102997780E0,-5.731719017E0
2.456763670E-1,-5.661089897E0,-6.492476463E0,-6.380547523E0
2.656339710E-1,-9.506177902E0,-6.765415668E0,-5.532999992E0
2.855915750E-1,-1.728493881E1,-4.138976097E0,1.259350061E0
3.055491800E-1,-4.015435410E1,8.969278336E0,1.644577217E1
3.255067840E-1,-6.497025299E1,2.715084648E1,1.856464005E1
3.454643880E-1,-5.811565399E1,2.767038727E1,1.895489502E1
3.654219920E-1,-2.890639496E1,1.565867805E1,2.335543823E1
3.853795960E-1,-8.297105789E0,1.030284882E1,1.533486176E1
4.053372000E-1,-1.193509579E0,9.225458145E0,4.934449673E0
4.252948050E-1,1.758541107E0,8.473678589E0,3.064578176E-1
4.452524090E-1,6.178237438E0,6.124966621E0,2.073378563E0
4.652100130E-1,1.043752193E1,3.467402697E0,3.593696833E0
4.851676170E-1,9.906009674E0,2.586336374E0,4.680664539E0
5.051252210E-1,7.528567314E0,3.500921488E0,5.250484467E0
5.250828250E-1,7.827842236E0,3.627814054E0,2.604891539E0
5.450404300E-1,7.681796074E0,3.256712914E0,3.854664862E-1
5.650120440E-1,6.939593792E0,3.036446333E0,1.853112102E0
5.849437110E-1,7.104793549E0,2.914341927E0,4.118026733E0
6.048768880E-1,6.240486622E0,3.484162092E0,6.313509941E0
6.248124610E-1,-3.139995575E0,6.871957302E0,1.178904915E1
6.447512110E-1,-1.378940487E1,1.317110252E1,1.756147003E1
6.646937630E-1,-1.535760689E1,1.396837139E1,1.682405472E1
6.846405860E-1,-2.433107567E1,1.596992397E1,2.468182564E1
7.045919400E-1,-3.641221619E1,1.619258499E1,2.960430336E1
7.245478780E-1,-3.335960770E1,1.047762489E1,2.048478889E1
7.445082940E-1,-2.513792038E1,5.033210754E0,1.027591324E1
7.644729300E-1,-1.538873100E1,1.810615063E0,5.439626217E0
7.844413670E-1,-9.530119896E0,-8.086416125E-1,3.648763418E0
8.044409500E-1,-6.161478043E0,-1.850119352E0,1.007958889E0
8.244422000E-1,-5.055356979E0,-2.065597534E0,1.388636976E-1
8.444059500E-1,-4.023456097E0,-3.777451754E0,-1.498770237E0
8.643635550E-1,-2.290053844E0,-6.157288074E0,-3.627215624E0
8.843211590E-1,-5.542576909E-1,-7.141304970E0,-5.805939198E0
9.042787630E-1,3.740940094E0,-7.754220963E0,-8.214506149E0
9.242363670E-1,6.860584736E0,-8.549096107E0,-1.025915432E1
9.441939710E-1,4.346673012E0,-8.426991463E0,-8.547300339E0
9.641515750E-1,-1.089361757E-1,-6.698377609E0,-4.041412354E0
9.841091800E-1,-1.126471877E0,-5.848436356E0,-3.945644379E0
1.004066784E0,-4.284423828E0,-4.957793236E0,-5.015852451E0
1.024024388E0,-1.027711105E1,-2.867655039E0,-3.438073635E0
1.043981992E0,-2.174533653E1,3.086724520E0,8.595184088E-1
1.063939596E0,-4.397789383E1,1.624525642E1,1.889264488E1
1.083897200E0,-5.641098404E1,2.391149139E1,3.906618881E1
1.103854805E0,-3.436038589E1,1.837849045E1,3.236960602E1
1.123812409E0,-1.378701019E1,1.200273132E1,1.934275627E1
1.143770013E0,-4.358644009E0,8.583811760E0,7.343016624E0
1.163727617E0,1.059434295E0,6.455366135E0,-4.046200812E-1
1.183685221E0,5.258863926E0,4.525639534E0,-4.299986362E0
1.203642825E0,8.306682587E0,1.741183162E0,-4.498704910E0
1.223600430E0,6.855796337E0,9.391255975E-1,-2.626439333E0
1.243558034E0,3.934870481E0,1.973420739E0,-3.902548850E-1
1.263515638E0,4.782417774E0,2.876034737E0,3.854664862E-1
1.283473242E0,6.096834660E0,3.350086689E0,1.393425345E0
1.303463138E0,5.744886875E0,3.898358822E0,1.472434044E0
1.323424700E0,6.010643482E0,3.826532841E0,3.311181068E0
1.343314388E0,5.687426090E0,4.015674591E0,6.148310184E0
1.363208086E0,4.758475780E0,4.709993362E0,8.291120529E0
1.383108190E0,1.736993313E0,5.919064999E0,1.097980881E1
1.403016732E0,-6.214150429E0,8.911817551E0,1.363018990E1
1.422935325E0,-1.825698471E1,1.313518906E1,1.767399788E1
1.442865117E0,-3.415448380E1,1.616624832E1,1.746330643E1
1.462806784E0,-3.714963150E1,1.622370911E1,1.301727486E1
1.482760482E0,-3.405153275E1,1.170824528E1,1.534204483E1
1.502725898E0,-2.316270447E1,7.506421089E0,1.536359215E1
1.522702305E0,-9.781511307E0,1.671751380E0,1.279461384E1
1.542688503E0,-4.224568844E0,-1.383249998E0,8.075642586E0
1.562680690E0,-1.978807688E0,-2.372055292E0,1.802833915E0
1.582680898E0,-1.387439847E0,-4.119822502E0,-4.149151325E0
1.602685690E0,-2.323572636E0,-4.962581635E0,-8.932766914E0
1.622692982E0,-2.565387011E0,-4.938639641E0,-1.196861458E1
1.642700690E0,2.019509077E0,-5.872378349E0,-1.254082870E1
1.662670794E0,7.190984726E0,-7.821258545E0,-1.158554173E1
1.682628503E0,7.621941090E0,-8.364742279E0,-8.202534676E0
1.702586211E0,3.958812475E0,-7.644087315E0,-4.580107689E0
1.722543919E0,-1.976413488E0,-6.260239124E0,-2.920926094E0
1.742501628E0,-1.055483818E1,-3.023278236E0,-2.985569477E0
1.762459336E0,-2.226008987E1,1.978209138E0,-2.729389906E0
1.782417044E0,-3.395337296E1,6.888716698E0,3.088520169E-1
1.802374753E0,-5.485235977E1,1.413836002E1,1.713290787E1
1.822333711E0,-4.852208710E1,1.286225033E1,3.077746201E1
1.842289023E0,-2.366069794E1,7.776965618E0,3.808456802E1
1.862244388E0,-5.673060894E0,4.372410774E0,2.341289902E1
1.882199909E0,2.673126221E0,3.905541420E0,2.650381327E0
1.902155690E0,6.597222805E0,3.462614298E0,-5.877765179E0
1.922111784E0,7.485471725E0,2.361281395E0,-8.688557625E0
1.942068242E0,3.894169092E0,2.236783028E0,-7.900865555E0
1.962025117E0,8.918401599E-1,2.940678120E0,-4.764461517E0
1.981982409E0,8.918401599E-1,3.127425909E0,-1.326387763E0
2.001940117E0,4.243722439E0,2.969408751E0,8.786720037E-1
2.021898242E0,6.803123951E0,2.820968151E0,3.088520288E0
2.041856784E0,7.849390507E0,3.125031710E0,4.414907932E0
2.061819753E0,8.021772385E0,3.615843058E0,4.656722069E0
2.081782878E0,4.736927986E0,5.184045315E0,4.920084476E0
2.101740586E0,-3.699041605E-1,7.214328289E0,5.760449409E0
2.121698294E0,-6.082469463E0,1.047044277E1,7.053318024E0
2.141656003E0,-1.176630402E1,1.501942539E1,9.706093788E0
2.161613711E0,-1.256596756E1,1.789486122E1,1.374511242E1
2.181571419E0,-2.243247223E1,1.961389923E1,2.699701881E1
2.201529128E0,-4.266826630E1,1.830426979E1,2.748064804E1
2.221486836E0,-3.630687332E1,1.353502083E1,1.183453941E1
2.241444544E0,-2.360084343E1,7.958924770E0,8.858546615E-2
2.261402253E0,-1.203924370E1,3.201646328E0,-2.729389966E-1
2.281359961E0,-4.018667698E0,-2.063203335E0,3.462015629E0
2.301317669E0,-5.758054852E-1,-4.550778866E0,4.000710964E0
2.321278919E0,3.651157618E-1,-7.680000305E0,1.161187768E0
2.341230378E0,-1.159990668E0,-1.038544846E1,-3.380612850E0
2.361182148E0,-2.079364061E0,-9.956886292E0,-9.454702377E0
2.381134440E0,1.636436820E0,-8.166023254E0,-1.591425896E1
2.401087461E0,5.038597584E0,-8.472481728E0,-1.838268089E1
2.421041367E0,3.958812475E0,-9.104550362E0,-1.393425369E1
2.440996263E0,1.021126986E0,-9.324816704E0,-7.321468830E0
2.460952253E0,-2.136825085E0,-9.025542259E0,-2.243366957E0
2.480909388E0,-6.343437195E0,-8.412626266E0,-4.525041282E-1
2.500867617E0,-1.107437992E1,-4.897938251E0,-7.182604820E-2
2.520826888E0,-2.780027390E1,4.334103584E0,6.995857239E0
2.540787096E0,-7.019440460E1,2.606148338E1,3.352121735E1
2.560756628E0,-6.699335480E1,3.027767372E1,2.950853539E1
2.580726523E0,-3.290471268E1,1.957798576E1,1.431972027E1
2.600684336E0,-9.080010414E0,1.133474922E1,6.904877663E0
2.620642044E0,3.555389643E-1,6.749853134E0,2.676717520E0
2.640599753E0,4.957194805E0,4.269460201E0,-1.647210717E0
2.660557461E0,8.730456352E0,1.791461468E0,-4.481945515E0
2.680515169E0,9.288305283E0,-4.728548229E-2,-3.433285236E0
2.700472878E0,7.581239700E0,3.166331649E-1,-1.426944256E0
2.720430586E0,5.570110321E0,2.583942175E0,4.572925270E-1
2.740388294E0,5.227739334E0,4.789001942E0,9.576807022E-1
2.760346003E0,5.735310078E0,4.961384296E0,1.340752989E-1
2.780303711E0,5.905298710E0,4.334103584E0,9.911994934E-1
2.800261419E0,7.052121162E0,3.342904091E0,3.790021181E0
2.820224544E0,7.155071735E0,2.718017578E0,7.498639584E0
2.840172825E0,4.650736809E0,3.599083662E0,1.200452709E1
2.860121628E0,-3.321954966E0,8.344391823E0,1.694137192E1
2.880071315E0,-1.394023895E1,1.709759331E1,1.929965973E1
2.900022148E0,-2.395997429E1,2.372234917E1,2.531868362E1
2.919974336E0,-4.199070740E1,2.233371162E1,3.008074951E1
2.939928034E0,-3.514089584E1,1.712392998E1,2.261802292E1
2.959883346E0,-2.152746391E1,9.117718697E0,1.074278259E1
2.979840325E0,-1.103128433E1,1.932719350E0,3.083731890E0
2.999798919E0,-6.353013992E0,-6.338648796E-1,9.409212470E-1
3.019759023E0,-2.804807186E0,-3.614645958E0,-9.648633003E-1
3.039720534E0,-1.078587890E0,-7.574655533E0,-3.253720045E0
3.059694544E0,-3.652354717E0,-1.011490345E1,-3.871424198E0
3.079670898E0,-4.327519417E0,-1.062965679E1,-5.968744755E0
3.099628711E0,1.449689150E0,-1.090020180E1,-1.115937424E1
3.119586419E0,5.608417511E0,-1.065359879E1,-1.467645645E1
3.139544128E0,4.284423828E0,-1.017236423E1,-1.246900272E1
3.159501836E0,9.421183467E-1,-9.612121582E0,-8.092401505E0
3.179459544E0,-2.539050817E0,-8.637681007E0,-4.065354347E0
3.199417253E0,-6.262034416E0,-7.284957409E0,-1.795651317E0
3.219374961E0,-1.117493629E1,-5.649717331E0,-1.307234168E0
3.239332669E0,-1.682046318E1,-1.560420990E0,1.618480325E0
3.259290378E0,-2.990717125E1,8.636484146E0,1.335246277E1
3.279248086E0,-6.368696213E1,3.024415398E1,3.738306427E1
3.299205794E0,-6.361513519E1,3.600220871E1,1.910573006E1
3.319170794E0,-3.411617661E1,2.400486565E1,-8.236053467E0
3.339116107E0,-1.243907452E1,1.069310379E1,2.224213362E0
3.359062096E0,4.191050053E0,1.932719350E0,1.478180122E1
3.379009232E0,1.014303589E1,-1.095347255E-1,1.029746151E1
3.398957878E0,9.958682060E0,-7.176619768E-1,2.418143749E-1
3.418908346E0,8.720879555E0,-9.331400990E-1,-3.007117271E0
3.438860846E0,7.509413719E0,9.415197968E-1,-1.968033791E0
3.458815482E0,1.058356857E1,1.394023895E0,-3.790021181E0
3.478772305E0,1.064821243E1,2.497750998E0,-2.638410330E0
3.498731263E0,8.816647530E0,3.730764866E0,-1.022324085E0
3.518692253E0,7.092822552E0,3.991732836E0,2.336740971E0
3.538655065E0,6.082469463E0,4.279036999E0,4.807557106E0
3.558634753E0,5.210979939E0,5.126584530E0,7.220912457E0
3.578615898E0,3.750516891E0,6.879139900E0,1.098938560E1
3.598573711E0,-2.709039211E0,1.251269627E1,1.819353867E1
3.618531523E0,-1.233133602E1,2.383487701E1,2.833058929E1
3.638489336E0,-2.597828484E1,3.024894333E1,4.392641830E1
3.658447148E0,-4.928105164E1,2.507746696E1,4.271734619E1
3.678404961E0,-4.122935104E1,1.802654266E1,1.393904209E1
3.698362773E0,-2.566464424E1,8.076240540E0,3.806780577E-1
3.718320586E0,-1.029865837E1,-1.148618221E0,2.466027737E-1
3.738278398E0,-3.049015760E0,-5.383961201E0,-1.374271750E0
3.758236211E0,-7.781155407E-2,-7.818864346E0,-6.782773495E0
3.778194023E0,-2.036268473E0,-9.372700691E0,-8.441955566E0
3.798151836E0,-6.099228859E0,-9.035119057E0,-6.193799973E0
3.818118242E0,-2.543839216E0,-9.142857552E0,-6.938396454E0
